# CPU cores (cores): 32
# Learning Rate (eta): 0.01
# Lambda (lamb): 0.15
# Maximum Number of Iterations (maxit): 300
# Matrix Rank (rank): 10
# RMSE Computation Interval (rmseint): 1
# Testing File (test): ratings_debug_test.mtx
# Training File (train): ratings_debug_train.mtx
@ 0 : [0.000s, 0.930s] : 1.44062220516
@ 1 : [33.668s, 54.277s] : 0.925477774482
@ 2 : [35.072s, 109.489s] : 0.889567740794
@ 3 : [37.931s, 166.206s] : 0.875741316246
@ 4 : [35.633s, 222.257s] : 0.868684034447
@ 5 : [33.492s, 275.096s] : 0.864550686389
@ 6 : [37.566s, 333.469s] : 0.861913645166
@ 7 : [37.218s, 388.995s] : 0.860126168639
@ 8 : [36.483s, 445.119s] : 0.858856253896
@ 9 : [31.902s, 496.075s] : 0.857918033492
@ 10 : [36.151s, 550.315s] : 0.857200561166
@ 11 : [33.671s, 606.363s] : 0.856634211573
@ 12 : [33.941s, 658.793s] : 0.856173449509
@ 13 : [35.125s, 714.256s] : 0.855787398027
@ 14 : [32.231s, 767.935s] : 0.85545439394
@ 15 : [36.500s, 825.051s] : 0.855158699301
@ 16 : [39.717s, 885.588s] : 0.854888431729
@ 17 : [35.050s, 942.494s] : 0.854634208364
@ 18 : [35.603s, 998.282s] : 0.854388218858
@ 19 : [35.466s, 1054.568s] : 0.854143561359
@ 20 : [37.530s, 1115.055s] : 0.853893742347
@ 21 : [34.628s, 1169.092s] : 0.85363228138
@ 22 : [36.482s, 1225.437s] : 0.853352388385
@ 23 : [34.614s, 1282.815s] : 0.853046701136
@ 24 : [37.404s, 1338.842s] : 0.852707088445
@ 25 : [35.905s, 1393.991s] : 0.852324542101
@ 26 : [36.081s, 1450.966s] : 0.851889197819
@ 27 : [35.148s, 1506.492s] : 0.851390539337
@ 28 : [34.498s, 1560.045s] : 0.850817843505
@ 29 : [32.497s, 1612.630s] : 0.850160907465
@ 30 : [36.251s, 1670.332s] : 0.849411051019
@ 31 : [36.004s, 1726.323s] : 0.848562304308
@ 32 : [32.557s, 1779.552s] : 0.847612587933
@ 33 : [33.346s, 1834.173s] : 0.846564609411
@ 34 : [34.681s, 1890.503s] : 0.845426191998
@ 35 : [33.866s, 1943.398s] : 0.8442098577
@ 36 : [34.261s, 1998.219s] : 0.842931688255
@ 37 : [35.284s, 2054.073s] : 0.841609704147
@ 38 : [35.197s, 2108.317s] : 0.84026212995
@ 39 : [34.401s, 2162.538s] : 0.838905899921
@ 40 : [33.646s, 2215.999s] : 0.8375556269
@ 41 : [34.510s, 2271.677s] : 0.836223089478
@ 42 : [35.214s, 2327.686s] : 0.834917161036
@ 43 : [34.035s, 2381.540s] : 0.833644041741
@ 44 : [36.234s, 2438.802s] : 0.832407652261
@ 45 : [36.817s, 2496.673s] : 0.831210079118
@ 46 : [35.559s, 2552.502s] : 0.830052001487
@ 47 : [35.108s, 2606.528s] : 0.828933063428
@ 48 : [34.469s, 2662.046s] : 0.82785217926
@ 49 : [37.535s, 2718.934s] : 0.826807773543
@ 50 : [35.047s, 2773.181s] : 0.825797963793
@ 51 : [34.899s, 2829.061s] : 0.824820696182
@ 52 : [36.785s, 2883.457s] : 0.823873844262
@ 53 : [33.534s, 2936.503s] : 0.822955279451
@ 54 : [34.487s, 2990.865s] : 0.822062920416
@ 55 : [34.331s, 3046.640s] : 0.821194766902
@ 56 : [35.394s, 3102.924s] : 0.820348922251
@ 57 : [35.560s, 3158.412s] : 0.819523607733
@ 58 : [34.720s, 3213.345s] : 0.818717170979
@ 59 : [35.856s, 3267.866s] : 0.817928090152
@ 60 : [36.111s, 3322.720s] : 0.817154975029
@ 61 : [36.469s, 3379.062s] : 0.816396565794
@ 62 : [32.699s, 3431.909s] : 0.815651730128
@ 63 : [34.670s, 3487.303s] : 0.814919458974
