# CPU cores (cores): 8
# Learning Rate (eta): 0.01
# Lambda (lamb): 0.08
# Maximum Number of Iterations (maxit): 300
# Matrix Rank (rank): 10
# RMSE Computation Interval (rmseint): 1
# Testing File (test): ratings_debug_test.mtx
# Training File (train): ratings_debug_train.mtx
@ 0 : [0.000s, 0.900s] : 1.44062220516
@ 1 : [92.634s, 133.837s] : 0.918820488774
@ 2 : [92.437s, 266.466s] : 0.880712939908
@ 3 : [92.588s, 399.283s] : 0.865966595429
@ 4 : [92.699s, 532.172s] : 0.858229177542
@ 5 : [92.625s, 664.998s] : 0.853497708328
@ 6 : [92.584s, 797.755s] : 0.850292868597
@ 7 : [92.528s, 930.439s] : 0.847942528008
@ 8 : [92.517s, 1063.115s] : 0.846098273355
@ 9 : [92.473s, 1195.802s] : 0.844561084715
@ 10 : [92.603s, 1328.587s] : 0.843207472942
@ 11 : [92.563s, 1461.337s] : 0.841954176857
@ 12 : [92.590s, 1594.119s] : 0.84073949147
@ 13 : [92.534s, 1726.833s] : 0.839512451607
@ 14 : [92.594s, 1859.688s] : 0.838226150891
@ 15 : [92.536s, 1992.452s] : 0.836833797798
@ 16 : [92.523s, 2125.168s] : 0.835287443057
@ 17 : [92.590s, 2257.977s] : 0.833540111914
@ 18 : [92.647s, 2390.851s] : 0.831552063999
@ 19 : [92.605s, 2523.673s] : 0.829300438789
@ 20 : [92.645s, 2656.519s] : 0.826788667633
@ 21 : [92.581s, 2789.326s] : 0.824049894231
@ 22 : [92.691s, 2922.246s] : 0.821140619864
@ 23 : [92.501s, 3054.996s] : 0.818126878179
@ 24 : [92.623s, 3187.791s] : 0.815070000605
@ 25 : [92.591s, 3320.614s] : 0.81201789463
@ 26 : [92.510s, 3453.304s] : 0.809002943422
@ 27 : [92.648s, 3586.142s] : 0.80604417183
@ 28 : [92.588s, 3718.916s] : 0.803150883595
@ 29 : [92.562s, 3851.665s] : 0.800326082624
@ 30 : [92.558s, 3984.438s] : 0.7975690833
@ 31 : [92.567s, 4117.276s] : 0.794877296452
@ 32 : [92.545s, 4250.053s] : 0.792247369507
@ 33 : [92.544s, 4382.852s] : 0.789675871796
@ 34 : [92.497s, 4515.576s] : 0.78715967495
@ 35 : [92.456s, 4648.227s] : 0.784696134375
@ 36 : [92.654s, 4781.087s] : 0.782283144119
@ 37 : [92.488s, 4913.815s] : 0.779919114329
@ 38 : [92.645s, 5046.659s] : 0.777602904872
@ 39 : [92.669s, 5179.474s] : 0.775333738173
@ 40 : [92.688s, 5312.382s] : 0.773111106715
@ 41 : [92.631s, 5445.291s] : 0.770934685245
@ 42 : [92.550s, 5578.016s] : 0.768804253556
@ 43 : [92.576s, 5710.811s] : 0.766719632787
@ 44 : [92.530s, 5843.592s] : 0.764680635995
@ 45 : [92.609s, 5976.406s] : 0.762687032353
@ 46 : [92.576s, 6109.204s] : 0.760738523482
@ 47 : [92.458s, 6241.830s] : 0.758834729957
@ 48 : [92.470s, 6374.557s] : 0.756975185954
@ 49 : [92.567s, 6507.275s] : 0.755159340034
@ 50 : [92.544s, 6639.976s] : 0.75338656031
@ 51 : [92.566s, 6772.797s] : 0.751656142479
@ 52 : [92.453s, 6905.493s] : 0.749967319511
@ 53 : [92.601s, 7038.297s] : 0.748319272042
@ 54 : [92.684s, 7171.177s] : 0.746711138786
@ 55 : [92.602s, 7303.977s] : 0.745142026485
@ 56 : [92.567s, 7436.777s] : 0.743611019095
@ 57 : [92.633s, 7569.678s] : 0.742117186028
@ 58 : [92.673s, 7702.494s] : 0.740659589381
@ 59 : [92.567s, 7835.283s] : 0.739237290154
@ 60 : [92.582s, 7968.104s] : 0.737849353495
@ 61 : [92.742s, 8101.117s] : 0.736494853052
@ 62 : [92.565s, 8233.843s] : 0.735172874515
@ 63 : [92.514s, 8366.576s] : 0.73388251845
@ 64 : [92.606s, 8499.392s] : 0.732622902508
@ 65 : [92.615s, 8632.214s] : 0.731393163114
@ 66 : [92.556s, 8765.008s] : 0.730192456696
@ 67 : [92.624s, 8897.863s] : 0.729019960555
@ 68 : [92.551s, 9030.643s] : 0.727874873412
