# CPU cores (cores): 8
# Learning Rate (eta): 0.01
# Lambda (lamb): 0.07
# Maximum Number of Iterations (maxit): 300
# Matrix Rank (rank): 10
# RMSE Computation Interval (rmseint): 1
# Testing File (test): ratings_debug_test.mtx
# Training File (train): ratings_debug_train.mtx
@ 109 : [91.316s, 14320.088s] : 0.685796293979
@ 110 : [91.235s, 14451.292s] : 0.685335325898
@ 111 : [91.252s, 14582.539s] : 0.684882764196
@ 112 : [91.457s, 14714.003s] : 0.684438399635
@ 113 : [91.229s, 14845.171s] : 0.684002029394
@ 114 : [91.387s, 14976.575s] : 0.683573456832
@ 115 : [91.380s, 15107.852s] : 0.68315249127
@ 116 : [91.415s, 15239.264s] : 0.682738947775
@ 117 : [91.390s, 15370.611s] : 0.682332646957
@ 118 : [91.299s, 15501.890s] : 0.681933414768
@ 119 : [91.516s, 15633.447s] : 0.681541082319
@ 120 : [91.188s, 15764.683s] : 0.681155485693
@ 121 : [91.455s, 15896.177s] : 0.680776465773
@ 122 : [91.159s, 16027.414s] : 0.680403868078
@ 123 : [91.353s, 16158.785s] : 0.680037542597
@ 124 : [91.183s, 16290.046s] : 0.67967734364
@ 125 : [91.319s, 16421.352s] : 0.679323129686
@ 126 : [91.363s, 16552.744s] : 0.678974763245
@ 127 : [91.193s, 16683.944s] : 0.678632110719
@ 128 : [91.278s, 16815.288s] : 0.678295042272
@ 129 : [91.269s, 16946.561s] : 0.677963431704
@ 130 : [91.249s, 17077.866s] : 0.677637156328
@ 131 : [91.297s, 17209.256s] : 0.677316096857
@ 132 : [91.180s, 17340.535s] : 0.677000137293
@ 133 : [91.180s, 17471.769s] : 0.676689164813
@ 134 : [91.358s, 17603.225s] : 0.676383069674
@ 135 : [91.295s, 17734.579s] : 0.676081745106
@ 136 : [91.233s, 17865.868s] : 0.675785087224
@ 137 : [91.292s, 17997.222s] : 0.675492994927
@ 138 : [91.190s, 18128.458s] : 0.67520536982
@ 139 : [91.258s, 18259.810s] : 0.674922116117
@ 140 : [91.337s, 18391.183s] : 0.67464314057
@ 141 : [91.383s, 18522.614s] : 0.674368352381
@ 142 : [91.284s, 18653.879s] : 0.674097663133
@ 143 : [91.314s, 18785.222s] : 0.673830986709
@ 144 : [91.289s, 18916.552s] : 0.673568239228
@ 145 : [91.280s, 19047.890s] : 0.673309338975
@ 146 : [91.167s, 19179.174s] : 0.673054206331
@ 147 : [91.388s, 19310.619s] : 0.672802763716
@ 148 : [91.271s, 19441.955s] : 0.672554935522
@ 149 : [91.305s, 19573.329s] : 0.67231064806
@ 150 : [91.343s, 19704.627s] : 0.672069829496
@ 151 : [91.122s, 19835.809s] : 0.671832409802
@ 152 : [91.211s, 19967.076s] : 0.671598320698
@ 153 : [91.156s, 20098.307s] : 0.671367495607
@ 154 : [91.137s, 20229.523s] : 0.671139869598
@ 155 : [91.219s, 20360.777s] : 0.670915379344
@ 156 : [91.309s, 20492.137s] : 0.670693963071
@ 157 : [91.235s, 20623.438s] : 0.670475560519
@ 158 : [91.365s, 20754.781s] : 0.670260112894
@ 159 : [91.247s, 20886.028s] : 0.670047562827
@ 160 : [91.218s, 21017.249s] : 0.669837854334
@ 161 : [91.287s, 21148.575s] : 0.66963093278
@ 162 : [91.232s, 21279.825s] : 0.669426744835
@ 163 : [91.305s, 21411.133s] : 0.669225238444
@ 164 : [91.167s, 21542.242s] : 0.669026362785
@ 165 : [91.295s, 21673.561s] : 0.66883006824
@ 166 : [91.396s, 21805.023s] : 0.668636306359
@ 167 : [91.254s, 21936.261s] : 0.668445029829
@ 168 : [91.444s, 22067.684s] : 0.668256192443
@ 169 : [91.310s, 22199.022s] : 0.668069749067
@ 170 : [91.307s, 22330.326s] : 0.667885655615
@ 171 : [91.304s, 22461.726s] : 0.667703869019
@ 172 : [91.333s, 22593.031s] : 0.667524347199
@ 173 : [91.296s, 22724.357s] : 0.667347049039
@ 174 : [91.406s, 22855.823s] : 0.667171934363
@ 175 : [91.247s, 22987.108s] : 0.666998963904
@ 176 : [91.190s, 23118.385s] : 0.666828099286
@ 177 : [91.328s, 23249.812s] : 0.666659302996
@ 178 : [91.224s, 23381.112s] : 0.666492538364
@ 179 : [91.292s, 23512.467s] : 0.666327769541
@ 180 : [91.206s, 23643.718s] : 0.666164961472
@ 181 : [91.359s, 23775.146s] : 0.666004079884
@ 182 : [91.214s, 23906.457s] : 0.665845091258
@ 183 : [91.195s, 24037.732s] : 0.665687962813
@ 184 : [91.426s, 24169.173s] : 0.665532662488
@ 185 : [91.247s, 24300.441s] : 0.665379158919
@ 186 : [91.085s, 24431.622s] : 0.665227421426
@ 187 : [91.338s, 24563.031s] : 0.665077419994
@ 188 : [91.322s, 24694.388s] : 0.664929125251
@ 189 : [91.391s, 24825.863s] : 0.664782508462
@ 190 : [91.356s, 24957.247s] : 0.664637541501
@ 191 : [91.038s, 25088.321s] : 0.664494196846
@ 192 : [91.233s, 25219.525s] : 0.664352447557
@ 193 : [91.371s, 25350.865s] : 0.664212267264
@ 194 : [91.271s, 25482.092s] : 0.664073630152
@ 195 : [91.369s, 25613.465s] : 0.663936510948
@ 196 : [91.199s, 25744.641s] : 0.663800884908
@ 197 : [91.283s, 25875.988s] : 0.6636667278
@ 198 : [91.252s, 26007.198s] : 0.663534015899
@ 199 : [91.147s, 26138.340s] : 0.663402725965
@ 200 : [91.333s, 26269.645s] : 0.663272835239
@ 201 : [91.242s, 26400.899s] : 0.663144321429
@ 202 : [91.390s, 26532.316s] : 0.663017162695
@ 203 : [91.362s, 26663.695s] : 0.662891337643
@ 204 : [91.205s, 26794.923s] : 0.662766825313
@ 205 : [91.503s, 26926.477s] : 0.662643605166
@ 206 : [91.351s, 27057.823s] : 0.662521657077
@ 207 : [91.312s, 27189.120s] : 0.662400961324
@ 208 : [91.351s, 27320.510s] : 0.662281498577
@ 209 : [91.288s, 27451.820s] : 0.662163249892
@ 210 : [91.427s, 27583.322s] : 0.662046196699
@ 211 : [91.441s, 27714.773s] : 0.661930320793
@ 212 : [91.302s, 27846.085s] : 0.661815604328
@ 213 : [91.188s, 27977.300s] : 0.661702029809
@ 214 : [91.190s, 28108.521s] : 0.661589580078
@ 215 : [91.350s, 28239.855s] : 0.661478238313
@ 216 : [91.342s, 28371.254s] : 0.661367988018
@ 217 : [91.328s, 28502.596s] : 0.661258813015
@ 218 : [91.321s, 28633.938s] : 0.661150697434
@ 219 : [91.536s, 28765.437s] : 0.661043625712
@ 220 : [91.300s, 28896.761s] : 0.660937582582
@ 221 : [91.444s, 29028.219s] : 0.660832553067
@ 222 : [91.250s, 29159.529s] : 0.660728522473
@ 223 : [91.473s, 29291.020s] : 0.660625476384
@ 224 : [91.311s, 29422.396s] : 0.660523400655
@ 225 : [91.373s, 29553.833s] : 0.660422281407
@ 226 : [91.187s, 29684.977s] : 0.660322105018
@ 227 : [91.259s, 29816.197s] : 0.66022285812
@ 228 : [91.303s, 29947.512s] : 0.660124527594
@ 229 : [91.189s, 30078.812s] : 0.660027100563
@ 230 : [91.155s, 30210.014s] : 0.659930564387
@ 231 : [91.137s, 30341.103s] : 0.659834906656
@ 232 : [91.306s, 30472.427s] : 0.65974011519
@ 233 : [91.340s, 30603.750s] : 0.659646178029
@ 234 : [91.497s, 30735.288s] : 0.65955308343
@ 235 : [91.208s, 30866.508s] : 0.659460819865
@ 236 : [91.306s, 30997.875s] : 0.65936937601
@ 237 : [91.212s, 31129.129s] : 0.659278740747
@ 238 : [91.446s, 31260.595s] : 0.659188903158
@ 239 : [91.236s, 31391.808s] : 0.659099852516
@ 240 : [91.366s, 31523.289s] : 0.65901157829
@ 241 : [91.404s, 31654.696s] : 0.658924070131
@ 242 : [91.102s, 31785.857s] : 0.658837317877
@ 243 : [91.238s, 31917.111s] : 0.658751311541
@ 244 : [91.403s, 32048.552s] : 0.658666041314
@ 245 : [91.332s, 32179.986s] : 0.658581497558
@ 246 : [91.467s, 32311.533s] : 0.658497670803
@ 247 : [91.405s, 32443.039s] : 0.658414551743
@ 248 : [91.230s, 32574.344s] : 0.658332131234
@ 249 : [91.204s, 32705.558s] : 0.658250400289
@ 250 : [91.371s, 32836.980s] : 0.658169350077
@ 251 : [91.263s, 32968.256s] : 0.658088971916
@ 252 : [91.401s, 33099.659s] : 0.658009257274
@ 253 : [91.470s, 33231.194s] : 0.657930197765
@ 254 : [91.358s, 33362.610s] : 0.657851785144
@ 255 : [91.191s, 33493.834s] : 0.657774011306
@ 256 : [91.335s, 33625.199s] : 0.657696868283
@ 257 : [91.395s, 33756.670s] : 0.65762034824
@ 258 : [91.266s, 33888.019s] : 0.657544443474
@ 259 : [91.362s, 34019.471s] : 0.657469146411
@ 260 : [91.373s, 34150.874s] : 0.657394449602
@ 261 : [91.181s, 34282.069s] : 0.657320345722
@ 262 : [91.355s, 34413.432s] : 0.657246827566
@ 263 : [91.368s, 34544.873s] : 0.657173888051
@ 264 : [91.340s, 34676.193s] : 0.657101520206
@ 265 : [91.312s, 34807.661s] : 0.657029717177
@ 266 : [91.235s, 34938.962s] : 0.65695847222
@ 267 : [91.306s, 35070.295s] : 0.656887778703
@ 268 : [91.294s, 35201.619s] : 0.656817630099
@ 269 : [91.275s, 35332.902s] : 0.656748019987
@ 270 : [91.176s, 35464.099s] : 0.65667894205
@ 271 : [91.276s, 35595.414s] : 0.656610390071
@ 272 : [91.404s, 35726.856s] : 0.656542357935
@ 273 : [91.346s, 35858.244s] : 0.656474839621
@ 274 : [91.323s, 35989.603s] : 0.656407829206
@ 275 : [91.371s, 36121.004s] : 0.656341320859
@ 276 : [91.364s, 36252.409s] : 0.656275308843
@ 277 : [91.478s, 36383.882s] : 0.656209787509
@ 278 : [91.274s, 36515.188s] : 0.656144751297
