# CPU cores (cores): 8
# Learning Rate (eta): 0.01
# Lambda (lamb): 0.06
# Maximum Number of Iterations (maxit): 300
# Matrix Rank (rank): 10
# RMSE Computation Interval (rmseint): 1
# Testing File (test): ratings_debug_test.mtx
# Training File (train): ratings_debug_train.mtx
@ 0 : [0.000s, 0.909s] : 1.44062220516
@ 1 : [91.805s, 132.893s] : 0.917432856757
@ 2 : [91.826s, 264.766s] : 0.879138261505
@ 3 : [91.796s, 396.569s] : 0.864134124986
@ 4 : [91.824s, 528.471s] : 0.85614128135
@ 5 : [91.836s, 660.324s] : 0.851152658466
@ 6 : [91.842s, 792.326s] : 0.847680467817
@ 7 : [91.789s, 924.267s] : 0.845044678602
@ 8 : [91.687s, 1056.058s] : 0.842889303174
@ 9 : [91.801s, 1188.025s] : 0.841007239056
@ 10 : [91.780s, 1319.925s] : 0.839265496363
@ 11 : [91.855s, 1451.910s] : 0.837568975413
@ 12 : [91.850s, 1583.869s] : 0.835841027373
@ 13 : [91.718s, 1715.680s] : 0.834012517236
@ 14 : [91.733s, 1847.555s] : 0.832016691333
@ 15 : [91.634s, 1979.334s] : 0.829789919455
@ 16 : [91.784s, 2111.256s] : 0.827279189437
@ 17 : [91.801s, 2243.163s] : 0.824455211634
@ 18 : [91.735s, 2375.009s] : 0.82132515347
@ 19 : [91.699s, 2506.765s] : 0.817935603413
@ 20 : [91.847s, 2638.647s] : 0.814360803088
@ 21 : [91.733s, 2770.427s] : 0.810682010501
@ 22 : [91.948s, 2902.447s] : 0.806969677119
@ 23 : [91.820s, 3034.371s] : 0.803275278953
@ 24 : [91.851s, 3166.429s] : 0.79963163462
@ 25 : [91.805s, 3298.315s] : 0.796057188698
@ 26 : [91.928s, 3430.382s] : 0.792560789302
@ 27 : [91.898s, 3562.371s] : 0.789145500928
@ 28 : [91.757s, 3694.239s] : 0.785811230843
@ 29 : [91.902s, 3826.266s] : 0.782556393179
@ 30 : [91.837s, 3958.225s] : 0.779378895956
@ 31 : [91.751s, 4090.127s] : 0.776276680686
@ 32 : [91.920s, 4222.176s] : 0.773247977209
@ 33 : [91.732s, 4354.032s] : 0.770291384207
@ 34 : [91.817s, 4485.901s] : 0.767405849406
@ 35 : [91.801s, 4617.831s] : 0.764590598416
@ 36 : [91.740s, 4749.648s] : 0.76184504381
@ 37 : [91.904s, 4881.642s] : 0.759168693985
@ 38 : [91.872s, 5013.680s] : 0.756561072864
@ 39 : [91.862s, 5145.674s] : 0.754021655834
@ 40 : [91.717s, 5277.450s] : 0.751549823436
@ 41 : [91.731s, 5409.338s] : 0.749144832028
@ 42 : [91.719s, 5541.190s] : 0.746805799235
@ 43 : [91.707s, 5673.051s] : 0.744531701417
@ 44 : [91.832s, 5805.015s] : 0.742321380204
@ 45 : [91.684s, 5936.897s] : 0.740173555341
@ 46 : [91.770s, 6068.750s] : 0.738086841427
@ 47 : [91.742s, 6200.669s] : 0.736059766598
@ 48 : [91.729s, 6332.504s] : 0.73409079163
@ 49 : [91.908s, 6464.443s] : 0.732178328399
@ 50 : [91.925s, 6596.402s] : 0.73032075698
@ 51 : [91.845s, 6728.342s] : 0.728516440973
@ 52 : [91.690s, 6860.083s] : 0.726763740873
@ 53 : [91.818s, 6991.917s] : 0.725061025448
@ 54 : [91.781s, 7123.798s] : 0.723406681213
@ 55 : [91.729s, 7255.647s] : 0.721799120141
@ 56 : [91.864s, 7387.579s] : 0.720236785785
@ 57 : [91.763s, 7519.483s] : 0.71871815802
@ 58 : [91.729s, 7651.289s] : 0.717241756573
@ 59 : [91.720s, 7783.099s] : 0.715806143538
@ 60 : [91.735s, 7914.950s] : 0.714409925047
@ 61 : [91.818s, 8046.874s] : 0.713051752215
@ 62 : [91.822s, 8178.788s] : 0.711730321534
@ 63 : [91.715s, 8310.552s] : 0.710444374787
@ 64 : [91.876s, 8442.598s] : 0.709192698607
@ 65 : [91.793s, 8574.408s] : 0.707974123747
@ 66 : [91.785s, 8706.250s] : 0.706787524143
@ 67 : [91.737s, 8838.127s] : 0.705631815806
@ 68 : [91.735s, 8970.041s] : 0.704505955619
@ 69 : [91.844s, 9101.972s] : 0.703408940038
@ 70 : [91.949s, 9234.022s] : 0.702339803773
@ 71 : [91.728s, 9365.801s] : 0.701297618426
@ 72 : [91.745s, 9497.665s] : 0.700281491141
