# CPU cores (cores): 8
# Learning Rate (eta): 0.01
# Lambda (lamb): 0.11
# Maximum Number of Iterations (maxit): 300
# Matrix Rank (rank): 10
# RMSE Computation Interval (rmseint): 1
# Testing File (test): ratings_debug_test.mtx
# Training File (train): ratings_debug_train.mtx
@ 0 : [0.000s, 0.928s] : 1.44062220516
@ 1 : [90.762s, 131.921s] : 0.9219064814
@ 2 : [91.022s, 263.157s] : 0.88404099835
@ 3 : [90.900s, 394.224s] : 0.869629976959
@ 4 : [91.137s, 525.496s] : 0.862210119768
@ 5 : [90.764s, 656.495s] : 0.857783887092
@ 6 : [90.851s, 787.577s] : 0.854882879916
@ 7 : [90.871s, 918.684s] : 0.852844105334
@ 8 : [90.893s, 1049.765s] : 0.851326844434
@ 9 : [90.974s, 1180.881s] : 0.850139309737
@ 10 : [90.981s, 1312.053s] : 0.849165702558
@ 11 : [90.928s, 1443.096s] : 0.848331787734
@ 12 : [90.891s, 1574.203s] : 0.847587128284
@ 13 : [90.977s, 1705.446s] : 0.846895195402
@ 14 : [90.869s, 1836.484s] : 0.846227457112
@ 15 : [90.786s, 1967.532s] : 0.84555958461
@ 16 : [90.985s, 2098.741s] : 0.844868853338
@ 17 : [90.828s, 2229.761s] : 0.844132306445
@ 18 : [90.914s, 2360.960s] : 0.843325558298
@ 19 : [90.818s, 2492.029s] : 0.842422355334
@ 20 : [90.834s, 2623.110s] : 0.841395199141
@ 21 : [90.796s, 2754.136s] : 0.840217401644
@ 22 : [91.115s, 2885.564s] : 0.838866732721
@ 23 : [91.048s, 3016.750s] : 0.837330197962
@ 24 : [90.962s, 3147.842s] : 0.835608561095
@ 25 : [90.980s, 3279.060s] : 0.833718584706
@ 26 : [90.985s, 3410.171s] : 0.831691412082
@ 27 : [91.032s, 3541.428s] : 0.82956721357
@ 28 : [91.235s, 3672.836s] : 0.827388104582
@ 29 : [90.903s, 3803.936s] : 0.825191958088
@ 30 : [90.900s, 3935.088s] : 0.823008769582
@ 31 : [90.959s, 4066.286s] : 0.820859706017
@ 32 : [90.899s, 4197.464s] : 0.818757985698
@ 33 : [90.987s, 4328.665s] : 0.816710568302
@ 34 : [90.906s, 4459.792s] : 0.814719933746
@ 35 : [90.963s, 4590.957s] : 0.81278559799
@ 36 : [90.654s, 4721.862s] : 0.810905268594
@ 37 : [90.899s, 4852.934s] : 0.809075668017
@ 38 : [90.926s, 4984.112s] : 0.807293093856
@ 39 : [90.731s, 5114.977s] : 0.805553786035
@ 40 : [90.900s, 5246.143s] : 0.803854157894
@ 41 : [90.842s, 5377.237s] : 0.802190933113
@ 42 : [91.051s, 5508.583s] : 0.800561217983
@ 43 : [90.897s, 5639.696s] : 0.79896252935
@ 44 : [90.686s, 5770.562s] : 0.797392792263
@ 45 : [90.983s, 5901.763s] : 0.795850317209
@ 46 : [90.900s, 6032.886s] : 0.794333764112
@ 47 : [90.982s, 6164.048s] : 0.792842098486
@ 48 : [90.991s, 6295.263s] : 0.791374543889
@ 49 : [91.090s, 6426.574s] : 0.78993053391
@ 50 : [91.091s, 6557.876s] : 0.788509666129
@ 51 : [90.996s, 6689.074s] : 0.787111659818
@ 52 : [90.946s, 6820.297s] : 0.785736318553
@ 53 : [90.880s, 6951.430s] : 0.784383498372
@ 54 : [90.967s, 7082.607s] : 0.783053081669
@ 55 : [90.696s, 7213.555s] : 0.781744956669
@ 56 : [90.887s, 7344.680s] : 0.780459002065
@ 57 : [90.827s, 7475.823s] : 0.779195076248
@ 58 : [90.999s, 7607.089s] : 0.777953010445
@ 59 : [90.874s, 7738.132s] : 0.776732605089
@ 60 : [90.844s, 7869.168s] : 0.775533628738
@ 61 : [91.021s, 8000.413s] : 0.774355818929
@ 62 : [91.150s, 8131.769s] : 0.773198884427
@ 63 : [91.025s, 8263.022s] : 0.772062508407
@ 64 : [90.938s, 8394.153s] : 0.770946352182
@ 65 : [91.012s, 8525.298s] : 0.769850059194
@ 66 : [90.737s, 8656.204s] : 0.76877325902
@ 67 : [90.983s, 8787.365s] : 0.767715571234
@ 68 : [90.741s, 8918.338s] : 0.766676609016
@ 69 : [91.039s, 9049.692s] : 0.765655982412
@ 70 : [90.974s, 9180.890s] : 0.764653301221
@ 71 : [90.981s, 9312.033s] : 0.763668177489
@ 72 : [90.883s, 9443.086s] : 0.762700227606
@ 73 : [90.951s, 9574.185s] : 0.76174907403
@ 74 : [90.826s, 9705.162s] : 0.760814346655
@ 75 : [90.898s, 9836.236s] : 0.759895683865
@ 76 : [90.721s, 9967.179s] : 0.7589927333
@ 77 : [90.753s, 10098.302s] : 0.758105152373
@ 78 : [90.718s, 10229.281s] : 0.75723260857
@ 79 : [91.025s, 10360.463s] : 0.756374779575
@ 80 : [90.777s, 10491.463s] : 0.75553135324
@ 81 : [90.840s, 10622.559s] : 0.754702027439
@ 82 : [90.984s, 10753.764s] : 0.753886509824
@ 83 : [90.934s, 10884.962s] : 0.753084517514
@ 84 : [90.997s, 11016.147s] : 0.75229577673
