# CPU cores (cores): 24
# Learning Rate (eta): 0.01
# Lambda (lamb): 0.13
# Maximum Number of Iterations (maxit): 300
# Matrix Rank (rank): 10
# RMSE Computation Interval (rmseint): 1
# Testing File (test): ratings_debug_test.mtx
# Training File (train): ratings_debug_train.mtx
@ 0 : [0.000s, 0.903s] : 1.44062220516
@ 1 : [33.309s, 48.349s] : 0.924302525721
@ 2 : [33.275s, 95.713s] : 0.887833897634
@ 3 : [32.679s, 142.409s] : 0.873726909546
@ 4 : [33.557s, 190.054s] : 0.866467002513
@ 5 : [33.439s, 238.269s] : 0.86216550215
@ 6 : [32.956s, 285.771s] : 0.859379796667
@ 7 : [33.946s, 333.779s] : 0.857456124002
@ 8 : [33.388s, 381.823s] : 0.856058323606
@ 9 : [34.600s, 431.217s] : 0.854997582557
@ 10 : [33.066s, 479.081s] : 0.854160570955
@ 11 : [33.180s, 526.932s] : 0.85347553617
@ 12 : [34.292s, 575.812s] : 0.852894893624
@ 13 : [33.103s, 623.437s] : 0.852385659367
@ 14 : [33.008s, 670.687s] : 0.851923876827
@ 15 : [33.570s, 718.414s] : 0.851491189085
@ 16 : [33.435s, 766.116s] : 0.851072611001
@ 17 : [33.076s, 813.360s] : 0.850654993329
@ 18 : [33.887s, 862.041s] : 0.850225899224
@ 19 : [33.874s, 910.330s] : 0.849772744293
@ 20 : [32.733s, 957.346s] : 0.849282138247
@ 21 : [32.920s, 1004.858s] : 0.848739436132
@ 22 : [33.033s, 1051.835s] : 0.848128571871
@ 23 : [32.878s, 1099.217s] : 0.84743230428
@ 24 : [33.497s, 1147.201s] : 0.846633036073
@ 25 : [33.440s, 1195.336s] : 0.845714330237
@ 26 : [32.611s, 1242.000s] : 0.844663098178
@ 27 : [33.925s, 1290.238s] : 0.84347215448
@ 28 : [32.949s, 1337.423s] : 0.84214250093
@ 29 : [33.157s, 1384.881s] : 0.840684514237
@ 30 : [33.002s, 1432.158s] : 0.839117390996
@ 31 : [33.629s, 1480.175s] : 0.837466788805
@ 32 : [33.010s, 1527.585s] : 0.835761314332
@ 33 : [33.743s, 1575.646s] : 0.834028913201
@ 34 : [32.865s, 1622.754s] : 0.832294089118
@ 35 : [33.653s, 1670.516s] : 0.830576382291
@ 36 : [33.069s, 1717.729s] : 0.828890023945
@ 37 : [33.400s, 1765.389s] : 0.827244396851
@ 38 : [32.889s, 1812.490s] : 0.825644892993
@ 39 : [32.767s, 1859.946s] : 0.824093861352
@ 40 : [32.853s, 1907.369s] : 0.822591471052
@ 41 : [34.261s, 1955.641s] : 0.821136418804
@ 42 : [33.683s, 2003.712s] : 0.819726471643
@ 43 : [33.062s, 2051.057s] : 0.818358864977
@ 44 : [33.247s, 2098.691s] : 0.817030585004
@ 45 : [33.658s, 2146.753s] : 0.815738563649
@ 46 : [32.977s, 2194.507s] : 0.814479809518
@ 47 : [33.311s, 2242.510s] : 0.813251492981
@ 48 : [34.408s, 2290.956s] : 0.812050998735
@ 49 : [33.266s, 2338.548s] : 0.81087595537
@ 50 : [33.901s, 2386.654s] : 0.809724248636
@ 51 : [33.886s, 2434.873s] : 0.808594023093
@ 52 : [33.373s, 2482.490s] : 0.807483675421
@ 53 : [33.593s, 2530.349s] : 0.806391841717
@ 54 : [33.433s, 2578.020s] : 0.805317380534
@ 55 : [33.218s, 2625.458s] : 0.804259352977
@ 56 : [33.014s, 2672.647s] : 0.803217000965
@ 57 : [33.130s, 2719.934s] : 0.80218972454
@ 58 : [33.511s, 2767.643s] : 0.801177059023
@ 59 : [33.202s, 2815.015s] : 0.800178652663
@ 60 : [33.712s, 2863.230s] : 0.799194245345
@ 61 : [33.194s, 2910.810s] : 0.798223648777
@ 62 : [33.556s, 2958.698s] : 0.7972667285
@ 63 : [33.857s, 3006.894s] : 0.796323387932
@ 64 : [33.425s, 3054.336s] : 0.795393554556
@ 65 : [33.061s, 3101.473s] : 0.794477168278
@ 66 : [33.141s, 3148.817s] : 0.793574171902
@ 67 : [32.789s, 3195.969s] : 0.792684503594
@ 68 : [33.647s, 3244.352s] : 0.791808091179
@ 69 : [34.227s, 3292.630s] : 0.790944848074
@ 70 : [33.142s, 3340.112s] : 0.79009467064
@ 71 : [32.832s, 3387.409s] : 0.789257436751
@ 72 : [33.574s, 3435.331s] : 0.788433005356
@ 73 : [33.561s, 3483.355s] : 0.787621216843
@ 74 : [33.179s, 3530.742s] : 0.786821894025
@ 75 : [33.451s, 3578.332s] : 0.786034843587
@ 76 : [33.853s, 3626.363s] : 0.785259857849
@ 77 : [33.623s, 3674.588s] : 0.784496716738
@ 78 : [34.018s, 3723.214s] : 0.783745189854
@ 79 : [33.604s, 3770.944s] : 0.783005038575
@ 80 : [33.548s, 3819.201s] : 0.782276018107
@ 81 : [34.199s, 3867.570s] : 0.781557879467
@ 82 : [33.704s, 3915.583s] : 0.780850371336
@ 83 : [32.841s, 3962.489s] : 0.780153241766
@ 84 : [33.279s, 4009.973s] : 0.779466239741
@ 85 : [34.736s, 4059.388s] : 0.778789116555
@ 86 : [33.044s, 4106.824s] : 0.778121627037
@ 87 : [33.337s, 4154.583s] : 0.777463530596
@ 88 : [33.470s, 4202.067s] : 0.776814592116
@ 89 : [32.630s, 4248.806s] : 0.77617458269
@ 90 : [33.191s, 4296.275s] : 0.775543280212
@ 91 : [33.898s, 4344.875s] : 0.774920469846
@ 92 : [33.394s, 4392.533s] : 0.774305944359
@ 93 : [33.700s, 4440.425s] : 0.773699504358
@ 94 : [33.431s, 4488.294s] : 0.773100958421
@ 95 : [32.892s, 4535.148s] : 0.772510123151
@ 96 : [33.862s, 4583.168s] : 0.771926823144
@ 97 : [33.367s, 4630.833s] : 0.771350890901
@ 98 : [33.748s, 4678.829s] : 0.770782166685
@ 99 : [33.102s, 4725.942s] : 0.770220498325
@ 100 : [33.676s, 4774.586s] : 0.769665740993
@ 101 : [33.389s, 4822.217s] : 0.769117756939
@ 102 : [32.909s, 4869.575s] : 0.768576415216
@ 103 : [33.147s, 4917.298s] : 0.768041591379
@ 104 : [33.557s, 4965.157s] : 0.767513167173
@ 105 : [33.046s, 5012.923s] : 0.766991030218
@ 106 : [32.846s, 5060.233s] : 0.76647507369
@ 107 : [34.126s, 5108.625s] : 0.765965195997
@ 108 : [33.409s, 5157.289s] : 0.76546130047
@ 109 : [33.716s, 5205.658s] : 0.764963295046
@ 110 : [33.189s, 5253.232s] : 0.764471091975
@ 111 : [32.932s, 5300.167s] : 0.763984607517
@ 112 : [32.904s, 5347.503s] : 0.76350376167
@ 113 : [33.699s, 5396.339s] : 0.763028477896
@ 114 : [33.109s, 5444.264s] : 0.762558682865
@ 115 : [33.328s, 5491.920s] : 0.762094306211
@ 116 : [33.374s, 5539.719s] : 0.7616352803
@ 117 : [33.676s, 5587.571s] : 0.761181540013
@ 118 : [33.657s, 5635.915s] : 0.760733022538
@ 119 : [33.241s, 5683.414s] : 0.760289667182
@ 120 : [33.507s, 5730.995s] : 0.759851415188
