# CPU cores (cores): 24
# Learning Rate (eta): 0.01
# Lambda (lamb): 0.1
# Maximum Number of Iterations (maxit): 300
# Matrix Rank (rank): 10
# RMSE Computation Interval (rmseint): 1
# Testing File (test): ratings_debug_test.mtx
# Training File (train): ratings_debug_train.mtx
@ 0 : [0.000s, 0.745s] : 1.44062220516
@ 1 : [33.155s, 48.575s] : 0.920665456302
@ 2 : [34.058s, 97.401s] : 0.883731211895
@ 3 : [33.043s, 144.873s] : 0.869284965805
@ 4 : [32.902s, 192.500s] : 0.861746111202
@ 5 : [34.069s, 240.897s] : 0.857195551855
@ 6 : [34.013s, 289.232s] : 0.854174593788
@ 7 : [33.478s, 337.192s] : 0.852019780086
@ 8 : [34.001s, 385.617s] : 0.850388346059
@ 9 : [34.721s, 434.783s] : 0.849086335731
@ 10 : [34.434s, 483.657s] : 0.847995808737
@ 11 : [33.558s, 531.671s] : 0.847040304021
@ 12 : [32.878s, 579.288s] : 0.846166905961
@ 13 : [33.298s, 627.227s] : 0.845336159775
@ 14 : [33.122s, 674.520s] : 0.844515943649
@ 15 : [33.046s, 721.907s] : 0.843677454927
@ 16 : [33.188s, 769.705s] : 0.842792445347
@ 17 : [33.331s, 817.414s] : 0.84183139839
@ 18 : [33.700s, 865.535s] : 0.840762741963
@ 19 : [33.950s, 914.015s] : 0.839553500621
@ 20 : [33.429s, 962.227s] : 0.838171919105
@ 21 : [32.722s, 1009.317s] : 0.836592287023
@ 22 : [33.469s, 1057.086s] : 0.834801230227
@ 23 : [33.236s, 1105.305s] : 0.832803323844
@ 24 : [34.093s, 1154.203s] : 0.83062306643
@ 25 : [33.568s, 1202.238s] : 0.828301327216
@ 26 : [33.392s, 1250.291s] : 0.825887233176
@ 27 : [34.116s, 1299.298s] : 0.823428952346
@ 28 : [33.979s, 1347.741s] : 0.820966875357
@ 29 : [32.893s, 1395.207s] : 0.818530650865
@ 30 : [33.457s, 1443.223s] : 0.816139426398
@ 31 : [33.360s, 1490.803s] : 0.813803793572
@ 32 : [34.506s, 1539.957s] : 0.811528165284
@ 33 : [33.272s, 1588.054s] : 0.809312892429
@ 34 : [32.816s, 1635.140s] : 0.807155890038
@ 35 : [33.252s, 1682.857s] : 0.805053784378
@ 36 : [33.147s, 1730.461s] : 0.803002677104
@ 37 : [34.008s, 1778.562s] : 0.800998630314
@ 38 : [33.204s, 1825.993s] : 0.799037957451
@ 39 : [34.061s, 1874.663s] : 0.797117382376
@ 40 : [32.884s, 1921.930s] : 0.795234110197
@ 41 : [33.597s, 1970.317s] : 0.793385839917
@ 42 : [33.182s, 2018.021s] : 0.791570739716
@ 43 : [33.382s, 2066.341s] : 0.789787399545
@ 44 : [33.176s, 2113.741s] : 0.788034771487
@ 45 : [33.756s, 2162.001s] : 0.786312105427
@ 46 : [33.126s, 2209.519s] : 0.784618885363
@ 47 : [33.475s, 2257.489s] : 0.782954769994
@ 48 : [33.169s, 2305.274s] : 0.781319539844
