# CPU cores (cores): 8
# Learning Rate (eta): 0.01
# Lambda (lamb): 0.09
# Maximum Number of Iterations (maxit): 300
# Matrix Rank (rank): 10
# RMSE Computation Interval (rmseint): 1
# Testing File (test): ratings_debug_test.mtx
# Training File (train): ratings_debug_train.mtx
@ 0 : [0.000s, 0.967s] : 1.44062220516
@ 1 : [90.528s, 131.484s] : 0.919719501276
@ 2 : [90.661s, 262.047s] : 0.881697420388
@ 3 : [90.451s, 392.368s] : 0.867069521067
@ 4 : [90.451s, 522.712s] : 0.859446437116
@ 5 : [90.595s, 653.218s] : 0.854826987195
@ 6 : [90.438s, 783.566s] : 0.851735655704
@ 7 : [90.592s, 914.086s] : 0.84950363963
@ 8 : [90.438s, 1044.560s] : 0.847785477762
@ 9 : [90.504s, 1175.077s] : 0.846385078248
@ 10 : [90.467s, 1305.532s] : 0.845182212382
@ 11 : [90.278s, 1435.819s] : 0.844097574219
@ 12 : [90.348s, 1566.096s] : 0.843074489915
@ 13 : [90.470s, 1696.564s] : 0.842068464546
@ 14 : [90.386s, 1826.951s] : 0.84104070669
@ 15 : [90.506s, 1957.300s] : 0.839953921725
@ 16 : [90.416s, 2087.729s] : 0.838769789912
@ 17 : [90.603s, 2218.286s] : 0.837448278931
@ 18 : [90.252s, 2348.491s] : 0.835949414418
@ 19 : [90.517s, 2479.045s] : 0.834238115218
@ 20 : [90.391s, 2609.410s] : 0.832291750485
@ 21 : [90.430s, 2739.830s] : 0.830108115077
@ 22 : [90.343s, 2870.209s] : 0.827709724065
@ 23 : [90.398s, 3000.617s] : 0.825140941455
@ 24 : [90.488s, 3131.106s] : 0.822458273885
@ 25 : [90.475s, 3261.562s] : 0.819718334518
@ 26 : [90.608s, 3392.135s] : 0.816968684368
@ 27 : [90.479s, 3522.552s] : 0.814243887259
@ 28 : [90.412s, 3652.968s] : 0.811565899578
@ 29 : [90.397s, 3783.339s] : 0.808946643331
@ 30 : [90.381s, 3913.781s] : 0.806391014531
@ 31 : [90.321s, 4044.084s] : 0.803899454385
@ 32 : [90.415s, 4174.371s] : 0.801469849153
@ 33 : [90.580s, 4304.886s] : 0.799098821608
@ 34 : [90.501s, 4435.370s] : 0.796782559863
@ 35 : [90.277s, 4565.633s] : 0.794517321227
@ 36 : [90.460s, 4696.065s] : 0.792299716267
@ 37 : [90.414s, 4826.432s] : 0.790126847131
@ 38 : [90.389s, 4956.804s] : 0.787996350827
@ 39 : [90.516s, 5087.268s] : 0.785906382174
@ 40 : [90.298s, 5217.513s] : 0.783855560556
@ 41 : [90.434s, 5347.942s] : 0.781842897433
@ 42 : [90.416s, 5478.328s] : 0.779867716599
@ 43 : [90.369s, 5608.676s] : 0.777929575442
@ 44 : [90.442s, 5739.123s] : 0.776028192634
@ 45 : [90.288s, 5869.346s] : 0.774163385433
@ 46 : [90.468s, 5999.862s] : 0.772335018066
@ 47 : [90.427s, 6130.260s] : 0.770542961415
@ 48 : [90.638s, 6260.834s] : 0.76878706331
@ 49 : [90.500s, 6391.276s] : 0.767067128254
@ 50 : [90.481s, 6521.736s] : 0.76538290509
@ 51 : [90.585s, 6652.283s] : 0.76373408107
@ 52 : [90.561s, 6782.763s] : 0.76212028083
@ 53 : [90.328s, 6913.056s] : 0.760541068954
@ 54 : [90.404s, 7043.455s] : 0.758995954966
@ 55 : [90.605s, 7173.982s] : 0.757484399819
@ 56 : [90.448s, 7304.379s] : 0.756005823147
@ 57 : [90.563s, 7434.872s] : 0.754559610718
@ 58 : [90.690s, 7565.476s] : 0.753145121698
@ 59 : [90.529s, 7695.932s] : 0.751761695462
@ 60 : [90.544s, 7826.436s] : 0.750408657777
@ 61 : [90.442s, 7956.847s] : 0.749085326287
@ 62 : [90.482s, 8087.284s] : 0.747791015266
@ 63 : [90.467s, 8217.734s] : 0.746525039664
@ 64 : [90.541s, 8348.262s] : 0.745286718474
@ 65 : [90.430s, 8478.598s] : 0.744075377494
@ 66 : [90.448s, 8608.973s] : 0.742890351544
@ 67 : [90.544s, 8739.472s] : 0.741730986197
@ 68 : [90.284s, 8869.697s] : 0.740596639115
@ 69 : [90.528s, 9000.158s] : 0.739486681026
@ 70 : [90.579s, 9130.689s] : 0.738400496423
@ 71 : [90.563s, 9261.185s] : 0.737337484014
@ 72 : [90.568s, 9391.698s] : 0.736297056991
@ 73 : [90.486s, 9522.077s] : 0.735278643135
@ 74 : [90.557s, 9652.572s] : 0.734281684811
@ 75 : [90.533s, 9783.017s] : 0.733305638857
@ 76 : [90.526s, 9913.542s] : 0.732349976408
@ 77 : [90.667s, 10044.183s] : 0.731414182671
@ 78 : [90.441s, 10174.563s] : 0.730497756652
@ 79 : [90.457s, 10304.960s] : 0.729600210866
@ 80 : [90.383s, 10435.362s] : 0.728721071025
@ 81 : [90.494s, 10565.776s] : 0.72785987572
@ 82 : [90.654s, 10696.343s] : 0.727016176091
@ 83 : [90.476s, 10826.824s] : 0.72618953551
@ 84 : [90.380s, 10957.205s] : 0.725379529253
@ 85 : [90.528s, 11087.720s] : 0.724585744182
@ 86 : [90.731s, 11218.407s] : 0.723807778436
@ 87 : [90.628s, 11349.024s] : 0.723045241126
@ 88 : [90.255s, 11479.232s] : 0.722297752034
@ 89 : [90.451s, 11609.674s] : 0.721564941324
@ 90 : [90.301s, 11739.950s] : 0.720846449261
@ 91 : [90.544s, 11870.527s] : 0.720141925932
@ 92 : [90.445s, 12000.874s] : 0.719451030979
@ 93 : [90.425s, 12131.220s] : 0.718773433336
@ 94 : [90.502s, 12261.649s] : 0.718108810976
@ 95 : [90.501s, 12392.095s] : 0.71745685066
@ 96 : [90.493s, 12522.546s] : 0.716817247691
@ 97 : [90.613s, 12653.226s] : 0.716189705686
@ 98 : [90.295s, 12783.433s] : 0.715573936335
@ 99 : [90.357s, 12913.676s] : 0.714969659179
@ 100 : [90.538s, 13044.129s] : 0.714376601391
@ 101 : [90.585s, 13174.672s] : 0.713794497559
@ 102 : [90.573s, 13305.219s] : 0.713223089473
@ 103 : [90.568s, 13435.759s] : 0.712662125925
@ 104 : [90.690s, 13566.414s] : 0.712111362508
@ 105 : [90.618s, 13696.972s] : 0.711570561417
@ 106 : [90.561s, 13827.518s] : 0.711039491262
@ 107 : [90.529s, 13957.989s] : 0.710517926882
@ 108 : [90.535s, 14088.465s] : 0.710005649164
@ 109 : [90.509s, 14218.900s] : 0.709502444868
@ 110 : [90.419s, 14349.279s] : 0.709008106456
@ 111 : [90.421s, 14479.632s] : 0.708522431924
@ 112 : [90.366s, 14609.915s] : 0.708045224641
@ 113 : [90.539s, 14740.438s] : 0.707576293193
@ 114 : [90.292s, 14870.718s] : 0.707115451228
@ 115 : [90.405s, 15001.146s] : 0.706662517309
@ 116 : [90.280s, 15131.371s] : 0.706217314772
@ 117 : [90.375s, 15261.752s] : 0.705779671582
@ 118 : [90.310s, 15392.074s] : 0.705349420199
@ 119 : [90.424s, 15522.415s] : 0.70492639745
@ 120 : [90.376s, 15652.706s] : 0.704510444397
@ 121 : [90.455s, 15783.143s] : 0.704101406214
@ 122 : [90.438s, 15913.546s] : 0.703699132072
@ 123 : [90.520s, 16044.005s] : 0.703303475016
@ 124 : [90.465s, 16174.319s] : 0.702914291859
@ 125 : [90.450s, 16304.712s] : 0.702531443067
@ 126 : [90.483s, 16435.134s] : 0.70215479266
@ 127 : [90.447s, 16565.510s] : 0.701784208105
@ 128 : [90.501s, 16695.999s] : 0.701419560218
@ 129 : [90.428s, 16826.352s] : 0.701060723071
@ 130 : [90.295s, 16956.600s] : 0.700707573894
@ 131 : [90.439s, 17086.953s] : 0.700359992992
@ 132 : [90.396s, 17217.346s] : 0.70001786365
@ 133 : [90.308s, 17347.630s] : 0.699681072056
@ 134 : [90.207s, 17477.874s] : 0.699349507214
@ 135 : [90.376s, 17608.315s] : 0.699023060868
@ 136 : [90.394s, 17738.693s] : 0.698701627424
@ 137 : [90.383s, 17869.082s] : 0.698385103875
@ 138 : [90.326s, 17999.411s] : 0.698073389733
@ 139 : [90.508s, 18129.909s] : 0.697766386952
@ 140 : [90.466s, 18260.356s] : 0.697463999869
@ 141 : [90.412s, 18390.769s] : 0.697166135132
@ 142 : [90.499s, 18521.273s] : 0.696872701639
@ 143 : [90.437s, 18651.740s] : 0.696583610477
@ 144 : [90.374s, 18782.085s] : 0.696298774861
@ 145 : [90.298s, 18912.353s] : 0.696018110078
@ 146 : [90.369s, 19042.699s] : 0.695741533429
@ 147 : [90.544s, 19173.248s] : 0.695468964175
@ 148 : [90.641s, 19303.829s] : 0.695200323486
@ 149 : [90.370s, 19434.214s] : 0.694935534389
@ 150 : [90.363s, 19564.589s] : 0.694674521715
@ 151 : [90.690s, 19695.238s] : 0.694417212058
@ 152 : [90.417s, 19825.586s] : 0.694163533721
@ 153 : [90.359s, 19955.865s] : 0.693913416676
@ 154 : [90.467s, 20086.264s] : 0.693666792516
@ 155 : [90.460s, 20216.666s] : 0.693423594417
@ 156 : [90.401s, 20347.047s] : 0.69318375709
@ 157 : [90.479s, 20477.497s] : 0.692947216748
@ 158 : [90.615s, 20608.100s] : 0.692713911062
@ 159 : [90.518s, 20738.540s] : 0.692483779126
@ 160 : [90.305s, 20868.849s] : 0.692256761418
@ 161 : [90.525s, 20999.317s] : 0.692032799764
@ 162 : [90.434s, 21129.694s] : 0.691811837306
@ 163 : [90.534s, 21260.116s] : 0.691593818467
@ 164 : [90.403s, 21390.494s] : 0.691378688917
@ 165 : [90.605s, 21521.046s] : 0.691166395542
@ 166 : [90.529s, 21651.564s] : 0.690956886415
@ 167 : [90.415s, 21781.870s] : 0.690750110761
@ 168 : [90.355s, 21912.181s] : 0.690546018935
@ 169 : [90.400s, 22042.509s] : 0.690344562385
@ 170 : [90.625s, 22173.114s] : 0.690145693633
@ 171 : [90.521s, 22303.579s] : 0.689949366243
@ 172 : [90.560s, 22434.077s] : 0.689755534795
@ 173 : [90.563s, 22564.566s] : 0.689564154861
@ 174 : [90.571s, 22695.028s] : 0.689375182983
@ 175 : [90.420s, 22825.400s] : 0.689188576642
@ 176 : [90.294s, 22955.634s] : 0.689004294243
@ 177 : [90.391s, 23085.979s] : 0.688822295084
@ 178 : [90.279s, 23216.220s] : 0.688642539342
@ 179 : [90.575s, 23346.781s] : 0.688464988046
@ 180 : [90.426s, 23477.114s] : 0.688289603057
@ 181 : [90.369s, 23607.442s] : 0.688116347052
@ 182 : [90.306s, 23737.741s] : 0.687945183498
@ 183 : [90.430s, 23868.157s] : 0.687776076637
@ 184 : [90.297s, 23998.448s] : 0.687608991464
@ 185 : [90.530s, 24128.900s] : 0.687443893715
@ 186 : [90.389s, 24259.236s] : 0.687280749841
@ 187 : [90.390s, 24389.585s] : 0.687119526996
@ 188 : [90.430s, 24519.947s] : 0.686960193022
@ 189 : [90.481s, 24650.412s] : 0.686802716426
@ 190 : [90.360s, 24780.764s] : 0.68664706637
@ 191 : [90.600s, 24911.278s] : 0.686493212654
@ 192 : [90.533s, 25041.773s] : 0.686341125699
@ 193 : [90.554s, 25172.213s] : 0.686190776535
@ 194 : [90.499s, 25302.651s] : 0.686042136784
@ 195 : [90.429s, 25432.999s] : 0.685895178649
@ 196 : [90.587s, 25563.479s] : 0.685749874899
@ 197 : [90.441s, 25693.936s] : 0.685606198856
@ 198 : [90.325s, 25824.190s] : 0.68546412438
@ 199 : [90.572s, 25954.689s] : 0.685323625862
@ 200 : [90.497s, 26085.077s] : 0.685184678206
@ 201 : [90.511s, 26215.537s] : 0.685047256819
@ 202 : [90.461s, 26345.991s] : 0.684911337601
@ 203 : [90.355s, 26476.305s] : 0.684776896933
@ 204 : [90.472s, 26606.680s] : 0.684643911665
@ 205 : [90.589s, 26737.216s] : 0.684512359105
@ 206 : [90.412s, 26867.553s] : 0.68438221701
@ 207 : [90.435s, 26997.926s] : 0.684253463577
@ 208 : [90.559s, 27128.376s] : 0.684126077428
@ 209 : [90.492s, 27258.882s] : 0.684000037607
@ 210 : [90.486s, 27389.319s] : 0.683875323565
@ 211 : [90.490s, 27519.735s] : 0.683751915153
@ 212 : [90.455s, 27650.150s] : 0.683629792615
