# CPU cores (cores): 8
# Learning Rate (eta): 0.01
# Lambda (lamb): 0.02
# Maximum Number of Iterations (maxit): 300
# Matrix Rank (rank): 10
# RMSE Computation Interval (rmseint): 1
# Testing File (test): ratings_debug_test.mtx
# Training File (train): ratings_debug_train.mtx
@ 0 : [0.000s, 1.032s] : 1.44062220516
@ 1 : [91.901s, 133.064s] : 0.916465852766
@ 2 : [92.026s, 265.043s] : 0.877728379525
@ 3 : [91.700s, 396.772s] : 0.862131932065
@ 4 : [91.701s, 528.523s] : 0.85353272909
@ 5 : [91.680s, 660.233s] : 0.847911025098
@ 6 : [92.034s, 792.337s] : 0.843758233903
@ 7 : [91.889s, 924.203s] : 0.840373781791
@ 8 : [91.884s, 1056.171s] : 0.837380352884
@ 9 : [91.968s, 1188.102s] : 0.834546776631
@ 10 : [91.925s, 1319.978s] : 0.831711964971
@ 11 : [91.843s, 1451.884s] : 0.828749701193
@ 12 : [91.849s, 1583.761s] : 0.825555172565
@ 13 : [91.837s, 1715.586s] : 0.822047393653
@ 14 : [91.678s, 1847.234s] : 0.818182750543
@ 15 : [91.964s, 1979.209s] : 0.81396867781
@ 16 : [91.871s, 2111.143s] : 0.809462947191
@ 17 : [91.916s, 2243.141s] : 0.80475414531
@ 18 : [91.824s, 2374.956s] : 0.799935154637
@ 19 : [91.794s, 2506.676s] : 0.795084484748
@ 20 : [91.731s, 2638.393s] : 0.790259874808
@ 21 : [91.631s, 2770.009s] : 0.785499968631
@ 22 : [91.972s, 2902.040s] : 0.780828868902
@ 23 : [91.691s, 3033.780s] : 0.776260696288
@ 24 : [91.952s, 3165.818s] : 0.771803191584
@ 25 : [91.931s, 3297.781s] : 0.76746026606
@ 26 : [91.780s, 3429.642s] : 0.763233676442
@ 27 : [91.842s, 3561.517s] : 0.759124046676
@ 28 : [91.944s, 3693.516s] : 0.755131435982
@ 29 : [91.550s, 3825.108s] : 0.751255612681
@ 30 : [91.861s, 3956.985s] : 0.747496152135
@ 31 : [91.886s, 4088.936s] : 0.743852441123
@ 32 : [92.057s, 4221.041s] : 0.740323642252
@ 33 : [91.926s, 4353.011s] : 0.736908650754
@ 34 : [91.947s, 4485.027s] : 0.733606061177
@ 35 : [91.955s, 4617.073s] : 0.730414151618
@ 36 : [91.887s, 4748.981s] : 0.727330886892
@ 37 : [91.838s, 4880.886s] : 0.724353938432
