# CPU cores (cores): 24
# Learning Rate (eta): 0.01
# Lambda (lamb): 0.14
# Maximum Number of Iterations (maxit): 300
# Matrix Rank (rank): 10
# RMSE Computation Interval (rmseint): 1
# Testing File (test): ratings_debug_test.mtx
# Training File (train): ratings_debug_train.mtx
@ 0 : [0.000s, 0.734s] : 1.44062220516
@ 1 : [32.504s, 47.329s] : 0.925746577762
@ 2 : [31.867s, 93.200s] : 0.889430565154
@ 3 : [33.780s, 141.017s] : 0.875427297089
@ 4 : [33.170s, 188.464s] : 0.868247661866
@ 5 : [32.624s, 235.333s] : 0.864013999751
@ 6 : [33.199s, 282.315s] : 0.861289241436
@ 7 : [33.283s, 329.781s] : 0.859422775389
@ 8 : [32.569s, 376.337s] : 0.858080421321
@ 9 : [32.444s, 422.908s] : 0.857074745464
@ 10 : [33.214s, 470.110s] : 0.856293491346
@ 11 : [32.713s, 516.823s] : 0.855665845584
@ 12 : [33.718s, 564.709s] : 0.855145143372
@ 13 : [32.350s, 611.275s] : 0.854699391788
@ 14 : [32.732s, 658.088s] : 0.854305780924
@ 15 : [32.493s, 704.351s] : 0.853947344548
@ 16 : [32.710s, 751.043s] : 0.85361083036
@ 17 : [32.692s, 797.826s] : 0.853285273533
@ 18 : [32.550s, 844.718s] : 0.852960989361
@ 19 : [32.937s, 892.028s] : 0.852628821762
@ 20 : [32.752s, 938.901s] : 0.85227955571
@ 21 : [33.220s, 986.324s] : 0.851903449163
@ 22 : [32.826s, 1033.381s] : 0.851489877532
@ 23 : [33.147s, 1080.534s] : 0.851027118429
@ 24 : [32.482s, 1127.684s] : 0.850502337957
@ 25 : [32.674s, 1174.348s] : 0.849901867622
@ 26 : [33.197s, 1221.675s] : 0.849211869663
@ 27 : [32.524s, 1268.081s] : 0.848419456722
@ 28 : [32.693s, 1315.070s] : 0.847514236668
@ 29 : [32.764s, 1361.820s] : 0.846490091178
@ 30 : [33.277s, 1409.544s] : 0.845346808644
@ 31 : [33.233s, 1457.231s] : 0.844091075309
@ 32 : [32.751s, 1504.097s] : 0.842736396709
@ 33 : [33.462s, 1551.798s] : 0.841301813531
@ 34 : [32.402s, 1598.496s] : 0.839809683675
@ 35 : [32.929s, 1645.251s] : 0.83828311324
@ 36 : [32.569s, 1692.150s] : 0.836743668335
@ 37 : [33.087s, 1739.309s] : 0.835209794096
@ 38 : [34.090s, 1787.424s] : 0.833696058843
@ 39 : [33.912s, 1835.451s] : 0.832213093921
@ 40 : [33.135s, 1882.650s] : 0.830767987824
@ 41 : [32.724s, 1929.122s] : 0.829364897922
@ 42 : [33.050s, 1976.364s] : 0.828005706761
@ 43 : [33.163s, 2023.427s] : 0.826690622706
@ 44 : [32.602s, 2070.193s] : 0.825418681638
@ 45 : [33.120s, 2117.266s] : 0.824188141842
@ 46 : [34.221s, 2165.759s] : 0.822996782224
@ 47 : [32.896s, 2213.479s] : 0.82184212068
@ 48 : [33.096s, 2261.196s] : 0.820721570131
@ 49 : [33.330s, 2308.455s] : 0.819632547551
@ 50 : [32.776s, 2355.355s] : 0.818572548433
@ 51 : [33.348s, 2402.619s] : 0.817539196205
@ 52 : [32.549s, 2450.134s] : 0.816530273661
@ 53 : [32.961s, 2497.806s] : 0.815543741515
@ 54 : [33.387s, 2545.401s] : 0.814577747723
@ 55 : [33.433s, 2593.040s] : 0.813630630119
@ 56 : [32.740s, 2640.189s] : 0.812700914157
@ 57 : [32.171s, 2686.427s] : 0.811787307021
@ 58 : [32.749s, 2732.957s] : 0.810888689009
@ 59 : [32.516s, 2779.454s] : 0.810004102853
@ 60 : [33.598s, 2826.885s] : 0.809132741521
@ 61 : [32.653s, 2874.253s] : 0.808273934926
@ 62 : [32.817s, 2921.390s] : 0.807427135939
@ 63 : [33.137s, 2968.836s] : 0.806591906051
@ 64 : [33.135s, 3016.196s] : 0.805767901007
@ 65 : [33.414s, 3063.547s] : 0.804954856713
