# CPU cores (cores): 32
# Learning Rate (eta): 0.01
# Lambda (lamb): 0.17
# Maximum Number of Iterations (maxit): 300
# Matrix Rank (rank): 10
# RMSE Computation Interval (rmseint): 1
# Testing File (test): ratings_debug_test.mtx
# Training File (train): ratings_debug_train.mtx
@ 0 : [0.000s, 0.813s] : 1.44062220516
@ 1 : [35.960s, 56.058s] : 0.928685109819
@ 2 : [36.096s, 111.580s] : 0.893130641948
@ 3 : [35.503s, 168.098s] : 0.879514133981
@ 4 : [33.044s, 220.516s] : 0.872605941214
@ 5 : [34.059s, 274.328s] : 0.868589734863
@ 6 : [35.186s, 329.680s] : 0.866050988088
@ 7 : [35.033s, 385.202s] : 0.864349957004
@ 8 : [36.620s, 442.567s] : 0.863158812418
@ 9 : [33.676s, 494.746s] : 0.862294405668
@ 10 : [35.983s, 550.696s] : 0.861647707457
@ 11 : [34.367s, 605.347s] : 0.861150552305
@ 12 : [33.883s, 660.325s] : 0.86075860771
@ 13 : [32.893s, 713.821s] : 0.860442070494
@ 14 : [33.819s, 767.285s] : 0.860180314443
@ 15 : [34.077s, 819.771s] : 0.859958676757
@ 16 : [33.968s, 873.412s] : 0.859766457064
@ 17 : [33.595s, 927.373s] : 0.859595630588
@ 18 : [36.569s, 983.888s] : 0.859439995326
@ 19 : [34.809s, 1038.250s] : 0.859294589789
@ 20 : [34.996s, 1092.809s] : 0.859155282848
@ 21 : [34.454s, 1147.473s] : 0.859018474645
@ 22 : [34.986s, 1201.881s] : 0.858880869914
@ 23 : [35.887s, 1257.307s] : 0.858739298851
@ 24 : [36.274s, 1313.680s] : 0.858590569616
@ 25 : [35.207s, 1370.624s] : 0.858431342766
@ 26 : [36.368s, 1426.879s] : 0.858258022635
@ 27 : [35.343s, 1480.486s] : 0.858066664777
@ 28 : [34.864s, 1533.476s] : 0.857852902572
@ 29 : [35.504s, 1590.165s] : 0.85761190019
@ 30 : [35.121s, 1645.420s] : 0.857338343289
@ 31 : [36.066s, 1702.254s] : 0.857026482698
@ 32 : [38.290s, 1759.809s] : 0.85667024885
@ 33 : [34.690s, 1813.140s] : 0.856263454343
@ 34 : [35.542s, 1867.787s] : 0.855800096635
@ 35 : [33.328s, 1920.156s] : 0.855274760588
@ 36 : [35.174s, 1974.645s] : 0.854683100465
@ 37 : [33.875s, 2029.876s] : 0.854022355219
@ 38 : [35.766s, 2086.250s] : 0.853291825179
@ 39 : [36.033s, 2142.466s] : 0.852493222308
@ 40 : [32.115s, 2194.336s] : 0.851630810229
@ 41 : [34.430s, 2249.651s] : 0.850711279742
@ 42 : [35.723s, 2304.176s] : 0.849743356498
@ 43 : [36.557s, 2359.500s] : 0.848737195007
@ 44 : [34.598s, 2415.989s] : 0.84770365761
@ 45 : [33.953s, 2467.774s] : 0.846653593466
@ 46 : [36.353s, 2525.510s] : 0.845597217809
@ 47 : [35.045s, 2579.046s] : 0.844543655167
@ 48 : [33.638s, 2631.881s] : 0.843500667235
@ 49 : [33.359s, 2687.835s] : 0.842474550396
@ 50 : [34.691s, 2742.193s] : 0.841470166415
@ 51 : [38.062s, 2802.458s] : 0.840491062729
@ 52 : [37.695s, 2859.145s] : 0.839539642122
@ 53 : [33.664s, 2912.960s] : 0.838617350242
@ 54 : [34.843s, 2966.521s] : 0.837724859371
@ 55 : [34.120s, 3020.641s] : 0.836862235741
@ 56 : [33.734s, 3074.465s] : 0.83602908434
@ 57 : [32.623s, 3126.390s] : 0.835224669716
@ 58 : [33.465s, 3179.841s] : 0.834448013942
@ 59 : [34.700s, 3234.266s] : 0.833697974294
@ 60 : [34.032s, 3288.880s] : 0.832973303714
@ 61 : [33.116s, 3341.293s] : 0.832272697096
@ 62 : [35.891s, 3397.265s] : 0.831594826204
@ 63 : [33.697s, 3451.073s] : 0.830938365608
@ 64 : [32.517s, 3504.111s] : 0.830302011654
@ 65 : [35.909s, 3559.866s] : 0.829684496072
@ 66 : [35.587s, 3617.006s] : 0.829084595526
@ 67 : [32.438s, 3668.279s] : 0.82850113809
@ 68 : [33.426s, 3722.214s] : 0.82793300745
@ 69 : [34.501s, 3777.936s] : 0.827379145415
@ 70 : [35.286s, 3832.786s] : 0.826838553185
@ 71 : [35.476s, 3888.460s] : 0.826310291721
@ 72 : [36.525s, 3944.296s] : 0.825793481469
@ 73 : [36.793s, 4000.587s] : 0.825287301605
@ 74 : [36.062s, 4057.934s] : 0.824790988951
@ 75 : [34.140s, 4113.310s] : 0.824303836644
@ 76 : [37.872s, 4171.894s] : 0.823825192627
@ 77 : [32.208s, 4221.919s] : 0.823354458001
@ 78 : [36.209s, 4277.704s] : 0.822891085265
@ 79 : [34.973s, 4331.343s] : 0.822434576466
@ 80 : [32.837s, 4385.217s] : 0.821984481261
@ 81 : [36.606s, 4441.531s] : 0.821540394903
@ 82 : [35.405s, 4498.187s] : 0.821101956143
@ 83 : [34.803s, 4552.299s] : 0.820668845064
@ 84 : [35.924s, 4609.898s] : 0.820240780845
@ 85 : [35.812s, 4666.621s] : 0.819817519452
@ 86 : [35.417s, 4722.266s] : 0.819398851277
@ 87 : [35.156s, 4776.451s] : 0.818984598723
@ 88 : [32.675s, 4829.593s] : 0.818574613754
@ 89 : [35.601s, 4884.810s] : 0.818168775421
@ 90 : [33.557s, 4935.667s] : 0.817766987381
@ 91 : [36.363s, 4992.149s] : 0.817369175424
@ 92 : [35.962s, 5047.797s] : 0.816975285035
@ 93 : [35.252s, 5102.564s] : 0.816585278995
@ 94 : [34.599s, 5156.930s] : 0.816199135058
@ 95 : [35.359s, 5210.851s] : 0.815816843703
@ 96 : [34.990s, 5265.895s] : 0.815438405993
@ 97 : [34.993s, 5323.397s] : 0.815063831542
@ 98 : [32.349s, 5375.757s] : 0.814693136619
@ 99 : [36.368s, 5432.086s] : 0.81432634238
@ 100 : [35.531s, 5486.453s] : 0.813963473254
@ 101 : [36.398s, 5539.003s] : 0.813604555468
@ 102 : [35.498s, 5594.361s] : 0.813249615738
@ 103 : [33.925s, 5648.345s] : 0.812898680105
@ 104 : [33.052s, 5700.973s] : 0.81255177292
@ 105 : [34.291s, 5755.260s] : 0.812208915981
@ 106 : [35.275s, 5810.255s] : 0.811870127807
@ 107 : [34.705s, 5864.295s] : 0.811535423047
@ 108 : [35.842s, 5920.605s] : 0.811204812013
@ 109 : [33.379s, 5974.733s] : 0.810878300326
@ 110 : [36.012s, 6030.501s] : 0.810555888671
@ 111 : [35.609s, 6084.785s] : 0.810237572645
@ 112 : [31.594s, 6136.797s] : 0.809923342688
@ 113 : [35.442s, 6191.818s] : 0.809613184094
@ 114 : [33.004s, 6245.849s] : 0.80930707708
