# CPU cores (cores): 32
# Learning Rate (eta): 0.01
# Lambda (lamb): 0.16
# Maximum Number of Iterations (maxit): 300
# Matrix Rank (rank): 10
# RMSE Computation Interval (rmseint): 1
# Testing File (test): ratings_debug_test.mtx
# Training File (train): ratings_debug_train.mtx
@ 0 : [0.000s, 0.787s] : 1.44062220516
@ 1 : [33.009s, 51.484s] : 0.927027555114
@ 2 : [33.063s, 102.991s] : 0.891295461523
@ 3 : [32.798s, 153.584s] : 0.877575581272
@ 4 : [33.152s, 202.328s] : 0.870594959784
@ 5 : [34.099s, 252.873s] : 0.866522583878
@ 6 : [32.796s, 305.005s] : 0.863937301092
@ 7 : [33.841s, 356.758s] : 0.862195847018
@ 8 : [32.105s, 406.306s] : 0.860968305695
@ 9 : [34.476s, 460.100s] : 0.860070180759
@ 10 : [36.577s, 513.024s] : 0.859391505006
@ 11 : [33.803s, 565.446s] : 0.858863412498
@ 12 : [34.011s, 616.779s] : 0.858441009185
@ 13 : [32.366s, 667.029s] : 0.858094007648
@ 14 : [35.727s, 720.480s] : 0.857801332251
@ 15 : [33.965s, 772.533s] : 0.857547872878
@ 16 : [34.074s, 823.859s] : 0.857322455774
@ 17 : [35.962s, 878.538s] : 0.857116529819
@ 18 : [34.188s, 930.279s] : 0.856923285968
@ 19 : [32.269s, 982.249s] : 0.856737044968
@ 20 : [31.243s, 1031.971s] : 0.856552813977
@ 21 : [33.104s, 1085.264s] : 0.856365950788
@ 22 : [33.232s, 1136.756s] : 0.856171897578
@ 23 : [33.287s, 1188.523s] : 0.855965961242
@ 24 : [31.899s, 1239.115s] : 0.855743128284
@ 25 : [32.615s, 1288.908s] : 0.855497911284
@ 26 : [32.621s, 1340.033s] : 0.855224232439
@ 27 : [33.187s, 1391.108s] : 0.854915358398
@ 28 : [34.052s, 1444.257s] : 0.854563909183
@ 29 : [31.641s, 1495.169s] : 0.854161971275
@ 30 : [31.656s, 1544.014s] : 0.853701347948
@ 31 : [32.319s, 1595.003s] : 0.853173974364
@ 32 : [33.248s, 1643.720s] : 0.852572505776
@ 33 : [32.040s, 1695.232s] : 0.851891051166
@ 34 : [33.793s, 1748.530s] : 0.851125974397
@ 35 : [33.471s, 1798.198s] : 0.850276632625
@ 36 : [32.398s, 1848.196s] : 0.849345889359
@ 37 : [33.402s, 1900.216s] : 0.848340251366
@ 38 : [35.038s, 1951.765s] : 0.847269546088
@ 39 : [32.237s, 2001.662s] : 0.846146165289
@ 40 : [35.093s, 2055.846s] : 0.844984011619
@ 41 : [31.911s, 2105.880s] : 0.843797352474
@ 42 : [33.003s, 2157.527s] : 0.842599785077
@ 43 : [33.368s, 2209.176s] : 0.841403456824
@ 44 : [34.489s, 2260.400s] : 0.840218598747
@ 45 : [31.629s, 2308.844s] : 0.839053352934
@ 46 : [33.196s, 2358.997s] : 0.837913827651
@ 47 : [33.757s, 2409.304s] : 0.836804298956
@ 48 : [34.503s, 2459.695s] : 0.83572748553
@ 49 : [34.927s, 2513.099s] : 0.834684842038
@ 50 : [32.667s, 2563.385s] : 0.833676836471
@ 51 : [32.901s, 2614.133s] : 0.832703193434
@ 52 : [32.024s, 2666.294s] : 0.831763096978
@ 53 : [32.331s, 2717.587s] : 0.830855353534
@ 54 : [34.670s, 2768.877s] : 0.829978519171
@ 55 : [31.651s, 2818.234s] : 0.829130996777
@ 56 : [36.294s, 2871.125s] : 0.828311108876
@ 57 : [34.188s, 2921.281s] : 0.82751715127
@ 58 : [34.350s, 2971.907s] : 0.826747431903
@ 59 : [36.493s, 3026.200s] : 0.82600029853
@ 60 : [32.340s, 3073.124s] : 0.825274157999
@ 61 : [32.264s, 3122.721s] : 0.824567489326
@ 62 : [32.786s, 3173.212s] : 0.82387885222
@ 63 : [34.951s, 3224.558s] : 0.823206892271
@ 64 : [33.933s, 3275.399s] : 0.822550343737
@ 65 : [33.637s, 3327.546s] : 0.821908030565
@ 66 : [33.646s, 3378.765s] : 0.821278866139
@ 67 : [36.108s, 3433.193s] : 0.820661852087
@ 68 : [33.542s, 3486.604s] : 0.820056076382
@ 69 : [34.397s, 3538.591s] : 0.819460710903
@ 70 : [32.003s, 3588.281s] : 0.818875008563
@ 71 : [33.466s, 3638.495s] : 0.818298300084
@ 72 : [31.789s, 3688.138s] : 0.817729990467
@ 73 : [35.441s, 3742.401s] : 0.817169555208
@ 74 : [32.877s, 3791.302s] : 0.81661653628
@ 75 : [34.555s, 3841.384s] : 0.816070537922
@ 76 : [33.872s, 3891.627s] : 0.815531222267
@ 77 : [32.901s, 3941.025s] : 0.814998304836
@ 78 : [33.240s, 3992.856s] : 0.814471549948
@ 79 : [36.470s, 4047.003s] : 0.81395076608
@ 80 : [33.410s, 4097.887s] : 0.813435801228
@ 81 : [30.741s, 4147.427s] : 0.812926538309
@ 82 : [31.339s, 4195.726s] : 0.812422890656
@ 83 : [33.222s, 4247.153s] : 0.811924797648
@ 84 : [33.182s, 4297.789s] : 0.811432220523
@ 85 : [32.456s, 4348.709s] : 0.810945138399
@ 86 : [34.383s, 4400.853s] : 0.810463544556
@ 87 : [32.849s, 4451.424s] : 0.809987442987
@ 88 : [32.865s, 4502.693s] : 0.809516845248
@ 89 : [33.046s, 4552.716s] : 0.809051767624
@ 90 : [32.691s, 4604.861s] : 0.808592228604
@ 91 : [34.155s, 4657.135s] : 0.808138246685
@ 92 : [33.540s, 4707.432s] : 0.807689838478
@ 93 : [34.065s, 4761.398s] : 0.807247017125
@ 94 : [32.540s, 4810.783s] : 0.806809791003
@ 95 : [33.987s, 4861.577s] : 0.806378162692
@ 96 : [33.296s, 4912.683s] : 0.805952128195
@ 97 : [32.139s, 4961.036s] : 0.805531676389
@ 98 : [34.756s, 5010.987s] : 0.805116788672
@ 99 : [33.912s, 5062.772s] : 0.804707438789
@ 100 : [32.494s, 5112.465s] : 0.804303592817
@ 101 : [34.359s, 5162.695s] : 0.803905209279
@ 102 : [34.288s, 5213.297s] : 0.803512239372
@ 103 : [32.754s, 5262.491s] : 0.803124627279
@ 104 : [35.782s, 5314.718s] : 0.80274231056
@ 105 : [33.870s, 5366.274s] : 0.802365220596
@ 106 : [33.291s, 5415.403s] : 0.801993283066
@ 107 : [34.697s, 5464.863s] : 0.801626418461
@ 108 : [35.296s, 5517.610s] : 0.801264542607
@ 109 : [33.789s, 5568.000s] : 0.800907567197
@ 110 : [33.618s, 5620.250s] : 0.800555400314
@ 111 : [34.265s, 5672.517s] : 0.800207946954
@ 112 : [34.458s, 5723.592s] : 0.799865109526
@ 113 : [32.922s, 5774.149s] : 0.799526788337
@ 114 : [33.191s, 5823.918s] : 0.799192882053
@ 115 : [32.174s, 5872.901s] : 0.798863288133
@ 116 : [33.330s, 5925.688s] : 0.798537903242
@ 117 : [34.120s, 5976.416s] : 0.798216623634
@ 118 : [34.015s, 6029.275s] : 0.7978993455
@ 119 : [32.296s, 6078.077s] : 0.7975859653
@ 120 : [31.266s, 6128.295s] : 0.797276380061
@ 121 : [34.191s, 6180.103s] : 0.796970487647
@ 122 : [34.311s, 6230.010s] : 0.796668187006
@ 123 : [33.315s, 6281.152s] : 0.796369378391
@ 124 : [34.418s, 6331.680s] : 0.796073963557
@ 125 : [35.416s, 6384.178s] : 0.795781845937
@ 126 : [34.212s, 6433.318s] : 0.795492930796
@ 127 : [32.699s, 6482.727s] : 0.795207125366
@ 128 : [33.442s, 6533.700s] : 0.794924338958
@ 129 : [33.171s, 6585.053s] : 0.794644483067
@ 130 : [35.613s, 6637.266s] : 0.794367471451
@ 131 : [33.800s, 6686.916s] : 0.794093220202
@ 132 : [31.240s, 6734.715s] : 0.793821647797
@ 133 : [34.479s, 6785.992s] : 0.793552675149
@ 134 : [32.413s, 6835.974s] : 0.79328622563
@ 135 : [34.324s, 6888.425s] : 0.793022225098
@ 136 : [34.620s, 6938.900s] : 0.792760601909
@ 137 : [33.023s, 6990.821s] : 0.792501286918
@ 138 : [32.724s, 7040.556s] : 0.792244213479
@ 139 : [32.700s, 7090.704s] : 0.791989317431
@ 140 : [32.597s, 7140.434s] : 0.791736537086
@ 141 : [33.012s, 7191.384s] : 0.791485813199
@ 142 : [36.085s, 7244.090s] : 0.79123708895
@ 143 : [34.441s, 7297.562s] : 0.790990309905
@ 144 : [35.362s, 7350.177s] : 0.790745423985
@ 145 : [32.702s, 7398.560s] : 0.790502381421
@ 146 : [33.806s, 7447.652s] : 0.790261134721
@ 147 : [34.230s, 7498.262s] : 0.790021638615
@ 148 : [35.217s, 7551.049s] : 0.789783850014
@ 149 : [34.574s, 7602.952s] : 0.789547727959
@ 150 : [33.946s, 7655.593s] : 0.789313233569
@ 151 : [35.618s, 7710.933s] : 0.789080329989
@ 152 : [33.018s, 7758.561s] : 0.788848982336
@ 153 : [33.365s, 7808.238s] : 0.788619157643
@ 154 : [33.010s, 7858.150s] : 0.788390824803
@ 155 : [33.558s, 7909.842s] : 0.788163954516
@ 156 : [34.818s, 7964.154s] : 0.787938519226
@ 157 : [32.058s, 8012.779s] : 0.787714493067
@ 158 : [33.569s, 8063.899s] : 0.787491851807
@ 159 : [33.697s, 8114.730s] : 0.787270572785
@ 160 : [32.356s, 8166.201s] : 0.787050634859
@ 161 : [33.881s, 8217.147s] : 0.786832018344
@ 162 : [34.279s, 8270.428s] : 0.786614704957
@ 163 : [34.656s, 8323.838s] : 0.786398677759
@ 164 : [32.930s, 8372.445s] : 0.786183921101
@ 165 : [32.096s, 8421.699s] : 0.785970420564
@ 166 : [34.168s, 8472.502s] : 0.785758162904
@ 167 : [34.094s, 8523.608s] : 0.785547136003
@ 168 : [32.654s, 8574.538s] : 0.785337328808
@ 169 : [34.080s, 8627.021s] : 0.785128731279
@ 170 : [32.493s, 8677.452s] : 0.784921334342
@ 171 : [32.939s, 8727.693s] : 0.784715129829
@ 172 : [33.326s, 8776.319s] : 0.784510110437
@ 173 : [36.695s, 8831.083s] : 0.784306269668
@ 174 : [33.348s, 8883.145s] : 0.78410360179
@ 175 : [32.936s, 8933.291s] : 0.783902101784
@ 176 : [33.664s, 8985.502s] : 0.783701765297
@ 177 : [33.724s, 9036.801s] : 0.783502588601
@ 178 : [33.657s, 9088.259s] : 0.783304568545
@ 179 : [33.448s, 9138.867s] : 0.783107702516
@ 180 : [34.528s, 9190.845s] : 0.782911988392
@ 181 : [34.543s, 9241.566s] : 0.782717424507
@ 182 : [32.684s, 9293.034s] : 0.782524009606
@ 183 : [34.389s, 9344.369s] : 0.782331742815
@ 184 : [34.310s, 9393.108s] : 0.782140623595
@ 185 : [35.172s, 9445.509s] : 0.781950651713
@ 186 : [33.666s, 9496.802s] : 0.781761827209
@ 187 : [32.300s, 9546.111s] : 0.781574150356
@ 188 : [34.010s, 9596.915s] : 0.781387621637
@ 189 : [36.066s, 9650.879s] : 0.781202241707
@ 190 : [36.144s, 9705.740s] : 0.781018011371
@ 191 : [32.898s, 9755.066s] : 0.780834931552
@ 192 : [35.866s, 9808.449s] : 0.780653003269
@ 193 : [33.823s, 9860.033s] : 0.780472227605
@ 194 : [32.789s, 9910.687s] : 0.78029260569
@ 195 : [32.284s, 9962.064s] : 0.780114138678
@ 196 : [32.853s, 10012.599s] : 0.779936827722
@ 197 : [34.913s, 10066.284s] : 0.779760673955
@ 198 : [32.790s, 10118.834s] : 0.779585678476
@ 199 : [32.507s, 10170.365s] : 0.779411842325
@ 200 : [33.145s, 10223.056s] : 0.779239166474
@ 201 : [34.169s, 10274.705s] : 0.779067651805
@ 202 : [34.604s, 10326.063s] : 0.778897299103
@ 203 : [34.271s, 10378.927s] : 0.778728109035
@ 204 : [35.007s, 10433.216s] : 0.778560082145
@ 205 : [32.818s, 10487.124s] : 0.778393218839
@ 206 : [32.849s, 10539.621s] : 0.778227519375
@ 207 : [31.624s, 10587.973s] : 0.778062983857
@ 208 : [33.702s, 10640.406s] : 0.777899612225
@ 209 : [35.143s, 10694.559s] : 0.777737404246
@ 210 : [31.950s, 10744.239s] : 0.77757635951
@ 211 : [33.047s, 10796.191s] : 0.777416477424
@ 212 : [31.633s, 10844.640s] : 0.777257757208
@ 213 : [31.868s, 10894.853s] : 0.777100197889
@ 214 : [32.197s, 10945.085s] : 0.776943798298
@ 215 : [34.849s, 10998.903s] : 0.776788557071
@ 216 : [35.138s, 11052.947s] : 0.77663447264
@ 217 : [34.849s, 11104.732s] : 0.77648154324
@ 218 : [33.756s, 11156.099s] : 0.776329766902
@ 219 : [32.252s, 11205.602s] : 0.776179141455
@ 220 : [34.570s, 11258.404s] : 0.776029664526
@ 221 : [33.893s, 11309.493s] : 0.775881333542
@ 222 : [33.231s, 11359.776s] : 0.77573414573
@ 223 : [31.516s, 11408.663s] : 0.775588098117
@ 224 : [33.819s, 11460.982s] : 0.775443187536
@ 225 : [32.659s, 11511.053s] : 0.775299410626
@ 226 : [33.022s, 11560.630s] : 0.775156763834
@ 227 : [33.729s, 11611.856s] : 0.775015243419
@ 228 : [31.574s, 11660.934s] : 0.774874845456
@ 229 : [32.508s, 11713.865s] : 0.77473556584
@ 230 : [31.626s, 11762.826s] : 0.774597400285
@ 231 : [33.870s, 11812.632s] : 0.774460344337
@ 232 : [34.652s, 11864.663s] : 0.774324393368
@ 233 : [30.738s, 11914.899s] : 0.774189542588
@ 234 : [33.868s, 11967.072s] : 0.774055787045
@ 235 : [33.031s, 12018.033s] : 0.773923121635
@ 236 : [32.997s, 12068.717s] : 0.773791541098
@ 237 : [32.736s, 12119.713s] : 0.773661040031
@ 238 : [35.630s, 12172.978s] : 0.77353161289
@ 239 : [33.328s, 12224.231s] : 0.773403253993
@ 240 : [36.193s, 12278.596s] : 0.773275957529
@ 241 : [33.016s, 12327.834s] : 0.773149717559
@ 242 : [33.338s, 12377.913s] : 0.773024528024
@ 243 : [32.678s, 12427.898s] : 0.772900382747
@ 244 : [33.133s, 12478.976s] : 0.772777275443
@ 245 : [33.801s, 12531.705s] : 0.772655199719
@ 246 : [34.686s, 12585.597s] : 0.77253414908
@ 247 : [34.355s, 12637.294s] : 0.772414116938
@ 248 : [36.109s, 12692.065s] : 0.772295096611
@ 249 : [35.349s, 12743.944s] : 0.772177081332
@ 250 : [32.563s, 12794.519s] : 0.772060064254
@ 251 : [32.780s, 12845.143s] : 0.771944038451
@ 252 : [34.160s, 12896.827s] : 0.771828996927
@ 253 : [33.386s, 12948.191s] : 0.771714932617
@ 254 : [33.300s, 12999.535s] : 0.771601838394
@ 255 : [33.526s, 13052.877s] : 0.771489707075
@ 256 : [33.631s, 13103.775s] : 0.77137853142
@ 257 : [33.112s, 13155.309s] : 0.771268304141
@ 258 : [32.914s, 13205.841s] : 0.771159017904
@ 259 : [33.014s, 13255.493s] : 0.771050665335
@ 260 : [33.449s, 13307.351s] : 0.770943239023
@ 261 : [33.908s, 13359.641s] : 0.770836731522
@ 262 : [34.201s, 13411.478s] : 0.770731135357
@ 263 : [33.857s, 13464.029s] : 0.770626443031
@ 264 : [31.175s, 13513.754s] : 0.770522647019
@ 265 : [34.710s, 13566.055s] : 0.770419739783
@ 266 : [31.909s, 13616.636s] : 0.770317713768
@ 267 : [31.662s, 13666.287s] : 0.770216561406
@ 268 : [33.406s, 13717.423s] : 0.770116275124
@ 269 : [33.493s, 13768.874s] : 0.770016847339
@ 270 : [33.850s, 13821.190s] : 0.769918270472
@ 271 : [34.631s, 13873.474s] : 0.769820536939
@ 272 : [34.151s, 13926.002s] : 0.769723639164
@ 273 : [34.172s, 13976.305s] : 0.769627569574
@ 274 : [33.896s, 14029.396s] : 0.769532320608
@ 275 : [31.850s, 14079.076s] : 0.769437884715
@ 276 : [31.008s, 14127.477s] : 0.769344254359
@ 277 : [33.257s, 14176.180s] : 0.769251422019
@ 278 : [32.541s, 14226.530s] : 0.769159380195
@ 279 : [33.315s, 14275.533s] : 0.769068121408
@ 280 : [33.979s, 14325.601s] : 0.768977638199
@ 281 : [34.065s, 14375.344s] : 0.768887923138
@ 282 : [32.944s, 14426.721s] : 0.76879896882
@ 283 : [33.243s, 14477.062s] : 0.768710767869
@ 284 : [35.060s, 14531.332s] : 0.768623312942
@ 285 : [34.519s, 14583.866s] : 0.768536596727
@ 286 : [33.004s, 14635.794s] : 0.768450611945
@ 287 : [33.144s, 14685.666s] : 0.768365351354
@ 288 : [35.015s, 14739.877s] : 0.76828080775
@ 289 : [34.648s, 14791.986s] : 0.768196973967
@ 290 : [34.170s, 14843.574s] : 0.768113842878
@ 291 : [34.335s, 14895.400s] : 0.768031407398
@ 292 : [30.513s, 14945.295s] : 0.767949660485
@ 293 : [33.293s, 14996.606s] : 0.767868595141
@ 294 : [33.176s, 15047.776s] : 0.76778820441
@ 295 : [33.061s, 15098.364s] : 0.767708481386
@ 296 : [32.724s, 15149.612s] : 0.767629419205
@ 297 : [34.299s, 15201.206s] : 0.767551011054
@ 298 : [32.439s, 15250.939s] : 0.767473250168
@ 299 : [32.989s, 15301.885s] : 0.767396129829
@ 300 : [34.857s, 15354.346s] : 0.767319643373
* RMSE Train : 0.767320
* RMSE Test  : 0.871774
