# CPU cores (cores): 16
# Learning Rate (eta): 0.01
# Lambda (lamb): 0.05
# Maximum Number of Iterations (maxit): 300
# Matrix Rank (rank): 10
# RMSE Computation Interval (rmseint): 1
# Testing File (test): ratings_debug_test.mtx
# Training File (train): ratings_debug_train.mtx
@ 0 : [0.000s, 0.804s] : 1.44062220516
@ 1 : [67.373s, 95.878s] : 0.917249403726
@ 2 : [66.792s, 190.238s] : 0.879297894375
@ 3 : [66.451s, 283.986s] : 0.864138144345
@ 4 : [67.254s, 379.302s] : 0.855952935855
@ 5 : [65.546s, 472.477s] : 0.850768555139
@ 6 : [68.343s, 568.138s] : 0.847098471453
@ 7 : [66.390s, 662.037s] : 0.844259112542
@ 8 : [67.211s, 756.556s] : 0.841889695068
@ 9 : [66.683s, 850.650s] : 0.839777604016
@ 10 : [66.399s, 945.066s] : 0.837783529954
@ 11 : [66.703s, 1039.661s] : 0.835805030819
@ 12 : [66.845s, 1134.724s] : 0.833757115279
@ 13 : [66.011s, 1228.722s] : 0.83156213641
@ 14 : [67.128s, 1324.472s] : 0.829147083915
@ 15 : [66.114s, 1418.641s] : 0.826448787019
@ 16 : [67.383s, 1514.052s] : 0.823426598934
@ 17 : [66.692s, 1608.647s] : 0.820077259723
@ 18 : [66.192s, 1702.785s] : 0.816441409532
@ 19 : [66.416s, 1797.968s] : 0.812593819901
@ 20 : [68.892s, 1894.319s] : 0.80862142466
@ 21 : [66.634s, 1988.667s] : 0.804602282015
@ 22 : [66.487s, 2083.306s] : 0.800594824392
@ 23 : [67.397s, 2178.477s] : 0.796637168886
@ 24 : [66.501s, 2272.974s] : 0.792751457194
@ 25 : [66.666s, 2368.038s] : 0.788949043909
@ 26 : [67.186s, 2462.693s] : 0.785234705024
@ 27 : [66.753s, 2557.042s] : 0.781609546098
@ 28 : [68.087s, 2653.313s] : 0.778072842793
@ 29 : [66.137s, 2747.305s] : 0.774623130716
@ 30 : [66.473s, 2841.337s] : 0.77125880267
@ 31 : [66.694s, 2935.240s] : 0.76797839629
@ 32 : [66.508s, 3029.387s] : 0.764780695527
@ 33 : [68.030s, 3125.597s] : 0.761664727219
@ 34 : [66.492s, 3219.782s] : 0.758629704974
@ 35 : [67.034s, 3314.884s] : 0.755674952834
@ 36 : [66.253s, 3409.336s] : 0.752799827907
@ 37 : [66.388s, 3503.547s] : 0.750003652446
@ 38 : [67.081s, 3598.292s] : 0.747285660265
@ 39 : [65.955s, 3692.473s] : 0.744644958921
@ 40 : [66.920s, 3787.480s] : 0.742080507047
@ 41 : [67.173s, 3882.567s] : 0.73959110502
@ 42 : [67.207s, 3977.670s] : 0.737175396632
@ 43 : [66.368s, 4071.897s] : 0.734831879179
@ 44 : [66.382s, 4165.746s] : 0.732558919501
@ 45 : [66.742s, 4259.859s] : 0.730354773732
@ 46 : [66.412s, 4354.763s] : 0.72821760887
@ 47 : [68.049s, 4450.601s] : 0.726145524659
@ 48 : [67.125s, 4546.021s] : 0.724136574672
@ 49 : [66.010s, 4640.147s] : 0.722188785827
@ 50 : [66.720s, 4735.274s] : 0.720300175878
@ 51 : [66.269s, 4829.358s] : 0.718468768647
@ 52 : [66.713s, 4923.913s] : 0.716692606954
@ 53 : [66.661s, 5018.806s] : 0.714969763322
@ 54 : [66.622s, 5113.348s] : 0.713298348603
@ 55 : [67.617s, 5209.003s] : 0.711676518738
@ 56 : [66.503s, 5303.167s] : 0.710102479869
