# CPU cores (cores): 8
# Learning Rate (eta): 0.01
# Lambda (lamb): 0.12
# Maximum Number of Iterations (maxit): 300
# Matrix Rank (rank): 10
# RMSE Computation Interval (rmseint): 1
# Testing File (test): ratings_debug_test.mtx
# Training File (train): ratings_debug_train.mtx
@ 0 : [0.000s, 0.927s] : 1.44062220516
@ 1 : [91.512s, 132.733s] : 0.923187257805
@ 2 : [91.505s, 264.477s] : 0.885393732513
@ 3 : [91.581s, 396.373s] : 0.871081802688
@ 4 : [91.536s, 528.216s] : 0.86375180075
@ 5 : [91.516s, 660.142s] : 0.859408216909
@ 6 : [91.534s, 792.064s] : 0.856586102894
@ 7 : [91.517s, 923.848s] : 0.854625103495
@ 8 : [91.500s, 1055.699s] : 0.853186485459
@ 9 : [91.496s, 1187.572s] : 0.852080095403
@ 10 : [91.511s, 1319.397s] : 0.851191652967
@ 11 : [91.470s, 1451.204s] : 0.850448511361
@ 12 : [91.485s, 1582.966s] : 0.84980205926
@ 13 : [91.603s, 1714.823s] : 0.84921800278
@ 14 : [91.267s, 1846.433s] : 0.848670643485
@ 15 : [91.485s, 1978.289s] : 0.8481392904
@ 16 : [91.351s, 2110.030s] : 0.847605859743
@ 17 : [91.524s, 2241.897s] : 0.847053169363
@ 18 : [91.485s, 2373.814s] : 0.846463687257
@ 19 : [91.636s, 2505.766s] : 0.845818661302
@ 20 : [91.638s, 2637.692s] : 0.845097692828
@ 21 : [91.629s, 2769.674s] : 0.844278932646
@ 22 : [91.515s, 2901.435s] : 0.84334014741
@ 23 : [91.399s, 3033.183s] : 0.842260855878
@ 24 : [91.459s, 3164.991s] : 0.841025476537
@ 25 : [91.419s, 3296.751s] : 0.839626933462
@ 26 : [91.455s, 3428.528s] : 0.838069608292
@ 27 : [91.416s, 3560.345s] : 0.836370313299
@ 28 : [91.398s, 3692.079s] : 0.834556483686
@ 29 : [91.330s, 3823.780s] : 0.832661947564
@ 30 : [91.362s, 3955.431s] : 0.830721713334
@ 31 : [91.387s, 4087.221s] : 0.828767467137
@ 32 : [91.518s, 4219.062s] : 0.826824831845
@ 33 : [91.537s, 4350.909s] : 0.824912499301
@ 34 : [91.629s, 4482.838s] : 0.823042715589
@ 35 : [91.600s, 4614.814s] : 0.821222446418
@ 36 : [91.587s, 4746.604s] : 0.819454702926
@ 37 : [91.549s, 4878.403s] : 0.817739738712
@ 38 : [91.587s, 5010.261s] : 0.816076009274
@ 39 : [91.662s, 5142.185s] : 0.814460887651
@ 40 : [91.598s, 5274.104s] : 0.812891173469
@ 41 : [91.619s, 5405.944s] : 0.811363442691
@ 42 : [91.651s, 5537.853s] : 0.809874280786
@ 43 : [91.552s, 5669.643s] : 0.808420433033
@ 44 : [91.436s, 5801.464s] : 0.80699889672
@ 45 : [91.431s, 5933.229s] : 0.805606972783
@ 46 : [91.512s, 6065.084s] : 0.804242289037
@ 47 : [91.539s, 6196.969s] : 0.802902803399
@ 48 : [91.446s, 6328.736s] : 0.801586793014
@ 49 : [91.511s, 6460.587s] : 0.800292833529
@ 50 : [91.417s, 6592.338s] : 0.799019771723
@ 51 : [91.383s, 6724.120s] : 0.797766694018
@ 52 : [91.564s, 6856.029s] : 0.7965328929
@ 53 : [91.310s, 6987.738s] : 0.79531783296
@ 54 : [91.546s, 7119.685s] : 0.794121117891
@ 55 : [91.492s, 7251.545s] : 0.792942459542
@ 56 : [91.369s, 7383.176s] : 0.791781649802
@ 57 : [91.399s, 7514.906s] : 0.790638535843
@ 58 : [91.372s, 7646.607s] : 0.789512998997
@ 59 : [91.306s, 7778.260s] : 0.788404937314
@ 60 : [91.463s, 7910.102s] : 0.787314251699
@ 61 : [91.511s, 8041.940s] : 0.786240835368
@ 62 : [91.609s, 8173.836s] : 0.785184566291
@ 63 : [91.476s, 8305.484s] : 0.784145302216
@ 64 : [91.698s, 8437.438s] : 0.78312287788
@ 65 : [91.636s, 8569.366s] : 0.782117103979
@ 66 : [91.547s, 8701.166s] : 0.781127767528
