# CPU cores (cores): 8
# Learning Rate (eta): 0.01
# Lambda (lamb): 0.03
# Maximum Number of Iterations (maxit): 300
# Matrix Rank (rank): 10
# RMSE Computation Interval (rmseint): 1
# Testing File (test): ratings_debug_test.mtx
# Training File (train): ratings_debug_train.mtx
@ 0 : [0.000s, 0.978s] : 1.44062220516
@ 1 : [92.479s, 133.344s] : 0.916462647611
@ 2 : [92.546s, 265.777s] : 0.877844300479
@ 3 : [92.414s, 398.079s] : 0.862403840062
@ 4 : [92.341s, 530.311s] : 0.853965393874
@ 5 : [92.388s, 662.677s] : 0.848513034525
@ 6 : [92.456s, 795.001s] : 0.844543665429
@ 7 : [92.373s, 927.303s] : 0.841362097161
@ 8 : [92.353s, 1059.615s] : 0.838596639422
@ 9 : [92.296s, 1191.808s] : 0.83602241828
@ 10 : [92.377s, 1324.044s] : 0.833485280246
@ 11 : [92.418s, 1456.438s] : 0.83086536576
@ 12 : [92.359s, 1588.731s] : 0.828060356625
@ 13 : [92.284s, 1720.905s] : 0.82498258704
@ 14 : [92.431s, 1853.355s] : 0.821568275963
@ 15 : [92.280s, 1985.587s] : 0.817793811836
@ 16 : [92.459s, 2118.001s] : 0.813686845926
@ 17 : [92.300s, 2250.269s] : 0.809319707851
@ 18 : [92.374s, 2382.558s] : 0.804786059373
@ 19 : [92.340s, 2514.867s] : 0.80017549919
@ 20 : [92.313s, 2647.145s] : 0.795558849504
@ 21 : [92.382s, 2779.491s] : 0.790985308171
@ 22 : [92.347s, 2911.707s] : 0.786486044374
@ 23 : [92.351s, 3044.013s] : 0.78207936843
@ 24 : [92.426s, 3176.351s] : 0.777775224237
@ 25 : [92.287s, 3308.551s] : 0.773578469578
@ 26 : [92.307s, 3440.798s] : 0.769491068176
@ 27 : [92.369s, 3573.162s] : 0.765513461955
@ 28 : [92.391s, 3705.481s] : 0.761645371298
@ 29 : [92.350s, 3837.813s] : 0.757886216975
@ 30 : [92.431s, 3970.220s] : 0.754235305731
@ 31 : [92.279s, 4102.498s] : 0.750691879065
@ 32 : [92.320s, 4234.773s] : 0.747255092032
@ 33 : [92.404s, 4367.164s] : 0.743923964632
@ 34 : [92.250s, 4499.420s] : 0.740697331102
@ 35 : [92.306s, 4631.753s] : 0.737573800612
@ 36 : [92.374s, 4764.121s] : 0.734551735056
@ 37 : [92.395s, 4896.484s] : 0.731629244684
@ 38 : [92.371s, 5028.843s] : 0.728804199453
@ 39 : [92.289s, 5160.955s] : 0.72607425254
@ 40 : [92.408s, 5293.315s] : 0.723436872007
@ 41 : [92.332s, 5425.625s] : 0.720889376883
@ 42 : [92.387s, 5557.934s] : 0.718428974487
@ 43 : [92.433s, 5690.292s] : 0.716052796603
@ 44 : [92.258s, 5822.505s] : 0.713757932882
@ 45 : [92.283s, 5954.672s] : 0.711541460492
@ 46 : [92.336s, 6086.930s] : 0.709400469599
@ 47 : [92.144s, 6219.006s] : 0.707332084624
@ 48 : [92.322s, 6351.306s] : 0.705333481474
@ 49 : [92.386s, 6483.611s] : 0.703401901117
@ 50 : [92.275s, 6615.811s] : 0.701534659917
@ 51 : [92.403s, 6748.172s] : 0.699729157189
@ 52 : [92.310s, 6880.366s] : 0.697982880383
@ 53 : [92.407s, 7012.738s] : 0.696293408331
@ 54 : [92.361s, 7145.011s] : 0.694658412879
@ 55 : [92.282s, 7277.210s] : 0.69307565925
@ 56 : [92.314s, 7409.498s] : 0.691543005382
@ 57 : [92.253s, 7541.713s] : 0.690058400478
@ 58 : [92.320s, 7673.990s] : 0.688619882965
@ 59 : [92.256s, 7806.081s] : 0.687225578007
@ 60 : [92.275s, 7938.305s] : 0.685873694707
@ 61 : [92.133s, 8070.394s] : 0.684562523098
@ 62 : [92.320s, 8202.639s] : 0.683290431018
@ 63 : [92.324s, 8334.834s] : 0.682055860913
@ 64 : [92.434s, 8467.208s] : 0.680857326637
@ 65 : [92.424s, 8599.573s] : 0.679693410276
@ 66 : [92.451s, 8732.007s] : 0.678562759039
@ 67 : [92.356s, 8864.297s] : 0.677464082216
@ 68 : [92.434s, 8996.701s] : 0.676396148235
@ 69 : [92.274s, 9128.913s] : 0.675357781827
@ 70 : [92.356s, 9261.182s] : 0.674347861292
