# CPU cores (cores): 8
# Learning Rate (eta): 0.01
# Lambda (lamb): 0.01
# Maximum Number of Iterations (maxit): 300
# Matrix Rank (rank): 10
# RMSE Computation Interval (rmseint): 1
# Testing File (test): ratings_debug_test.mtx
# Training File (train): ratings_debug_train.mtx
@ 0 : [0.000s, 0.919s] : 1.44062220516
@ 1 : [90.433s, 131.227s] : 0.916649741709
@ 2 : [90.478s, 261.419s] : 0.877788485994
@ 3 : [90.322s, 391.462s] : 0.862033136581
@ 4 : [90.305s, 521.475s] : 0.853270871578
@ 5 : [90.326s, 651.582s] : 0.847477810551
@ 6 : [90.441s, 781.732s] : 0.843140066058
@ 7 : [90.313s, 911.804s] : 0.839552080141
@ 8 : [90.300s, 1041.842s] : 0.836331469969
@ 9 : [90.296s, 1171.889s] : 0.833241653716
@ 10 : [90.340s, 1301.991s] : 0.830116348373
@ 11 : [90.293s, 1432.027s] : 0.826826541701
@ 12 : [90.439s, 1562.212s] : 0.82327119864
@ 13 : [90.492s, 1692.423s] : 0.819384070905
@ 14 : [90.468s, 1822.636s] : 0.815146961642
@ 15 : [90.512s, 1952.936s] : 0.810594707551
@ 16 : [90.426s, 2083.125s] : 0.805802184227
@ 17 : [90.511s, 2213.453s] : 0.800859454454
@ 18 : [90.393s, 2343.649s] : 0.795849877391
@ 19 : [90.260s, 2473.659s] : 0.790839287149
@ 20 : [90.329s, 2603.732s] : 0.785874558867
@ 21 : [90.462s, 2733.847s] : 0.780986702115
@ 22 : [90.421s, 2864.012s] : 0.776195051023
@ 23 : [90.319s, 2994.174s] : 0.771511035406
@ 24 : [90.209s, 3124.141s] : 0.766941089357
@ 25 : [90.258s, 3254.183s] : 0.762488691167
@ 26 : [90.344s, 3384.303s] : 0.758155678607
@ 27 : [90.280s, 3514.314s] : 0.753943020586
@ 28 : [90.376s, 3644.493s] : 0.749851215701
@ 29 : [90.287s, 3774.571s] : 0.745880457263
@ 30 : [90.277s, 3904.600s] : 0.742030668058
@ 31 : [90.331s, 4034.766s] : 0.738301474787
@ 32 : [90.351s, 4164.905s] : 0.734692165582
@ 33 : [90.319s, 4295.059s] : 0.731201654762
@ 34 : [90.208s, 4425.077s] : 0.72782846595
@ 35 : [90.462s, 4555.356s] : 0.724570736422
@ 36 : [90.167s, 4685.269s] : 0.721426240724
@ 37 : [90.258s, 4815.340s] : 0.718392429109
@ 38 : [90.508s, 4945.673s] : 0.715466475592
@ 39 : [90.362s, 5075.942s] : 0.712645330623
@ 40 : [90.262s, 5205.997s] : 0.709925774245
@ 41 : [90.326s, 5336.034s] : 0.707304466674
@ 42 : [90.198s, 5466.113s] : 0.704777994319
@ 43 : [90.261s, 5596.141s] : 0.70234291017
@ 44 : [90.377s, 5726.281s] : 0.699995768201
@ 45 : [90.419s, 5856.514s] : 0.697733151902
@ 46 : [90.448s, 5986.806s] : 0.695551697367
@ 47 : [90.302s, 6116.860s] : 0.693448111513
