# CPU cores (cores): 24
# Learning Rate (eta): 0.01
# Lambda (lamb): 0.19
# Maximum Number of Iterations (maxit): 300
# Matrix Rank (rank): 10
# RMSE Computation Interval (rmseint): 1
# Testing File (test): ratings_debug_test.mtx
# Training File (train): ratings_debug_train.mtx
@ 0 : [0.000s, 0.746s] : 1.44062220516
@ 1 : [32.553s, 47.460s] : 0.934597208705
@ 2 : [32.466s, 94.036s] : 0.899040668716
@ 3 : [32.493s, 140.778s] : 0.885505310266
@ 4 : [32.413s, 187.538s] : 0.87865825757
@ 5 : [32.689s, 234.266s] : 0.874684577509
@ 6 : [32.286s, 280.332s] : 0.872177202841
@ 7 : [32.806s, 327.162s] : 0.870501799121
@ 8 : [32.295s, 374.006s] : 0.869333870038
@ 9 : [32.491s, 420.542s] : 0.86849222649
@ 10 : [32.914s, 467.747s] : 0.867868963763
@ 11 : [32.706s, 514.411s] : 0.86739655321
@ 12 : [32.467s, 560.796s] : 0.86703102817
@ 13 : [32.245s, 607.037s] : 0.866742814986
@ 14 : [32.567s, 653.400s] : 0.866511464955
@ 15 : [32.973s, 700.241s] : 0.86632249482
@ 16 : [32.820s, 747.119s] : 0.866165422292
@ 17 : [32.624s, 793.618s] : 0.866032506279
@ 18 : [31.956s, 839.835s] : 0.865917916817
@ 19 : [33.319s, 887.240s] : 0.865817174664
@ 20 : [32.325s, 934.052s] : 0.865726764287
@ 21 : [32.611s, 980.890s] : 0.865643860675
@ 22 : [32.332s, 1027.263s] : 0.865566132199
@ 23 : [32.173s, 1073.659s] : 0.865491594979
@ 24 : [32.527s, 1120.041s] : 0.865418502495
@ 25 : [32.818s, 1166.754s] : 0.865345259501
@ 26 : [32.544s, 1213.588s] : 0.865270352737
@ 27 : [33.134s, 1260.827s] : 0.865192293297
@ 28 : [33.112s, 1307.858s] : 0.865109567118
@ 29 : [32.602s, 1354.634s] : 0.865020591255
@ 30 : [33.113s, 1401.711s] : 0.864923674572
@ 31 : [32.156s, 1448.394s] : 0.864816982261
@ 32 : [31.455s, 1493.749s] : 0.864698504385
@ 33 : [32.395s, 1540.068s] : 0.864566029445
@ 34 : [32.043s, 1586.022s] : 0.864417124764
@ 35 : [31.993s, 1631.782s] : 0.864249126379
@ 36 : [32.399s, 1678.191s] : 0.86405914198
@ 37 : [32.098s, 1724.558s] : 0.863844071185
@ 38 : [32.987s, 1771.795s] : 0.863600647926
@ 39 : [32.938s, 1818.615s] : 0.863325509588
@ 40 : [31.710s, 1864.230s] : 0.863015296672
@ 41 : [32.518s, 1911.223s] : 0.862666784577
@ 42 : [32.478s, 1958.136s] : 0.862277045641
@ 43 : [31.896s, 2004.091s] : 0.86184363472
@ 44 : [32.473s, 2050.602s] : 0.86136478584
@ 45 : [32.709s, 2097.262s] : 0.860839601808
@ 46 : [32.733s, 2144.051s] : 0.860268214513
@ 47 : [32.313s, 2190.257s] : 0.859651892635
@ 48 : [33.142s, 2237.698s] : 0.858993076835
@ 49 : [32.708s, 2284.436s] : 0.858295330423
@ 50 : [32.229s, 2330.621s] : 0.857563205003
@ 51 : [32.421s, 2377.115s] : 0.856802033143
@ 52 : [32.714s, 2424.183s] : 0.856017670804
@ 53 : [32.345s, 2470.589s] : 0.855216218527
@ 54 : [32.451s, 2517.264s] : 0.854403750927
@ 55 : [33.010s, 2564.188s] : 0.853586079355
@ 56 : [32.260s, 2610.491s] : 0.852768564455
@ 57 : [32.539s, 2657.205s] : 0.851955986051
@ 58 : [32.581s, 2703.666s] : 0.851152469511
@ 59 : [32.221s, 2749.907s] : 0.850361461683
@ 60 : [32.269s, 2796.387s] : 0.849585746132
@ 61 : [32.521s, 2842.782s] : 0.848827486448
@ 62 : [32.164s, 2889.189s] : 0.84808828709
@ 63 : [31.992s, 2935.315s] : 0.847369263013
@ 64 : [32.725s, 2982.126s] : 0.846671111374
@ 65 : [31.792s, 3027.643s] : 0.845994180688
@ 66 : [32.563s, 3074.284s] : 0.845338534526
@ 67 : [32.430s, 3120.730s] : 0.844704008241
@ 68 : [32.273s, 3167.337s] : 0.844090258155
@ 69 : [33.168s, 3215.117s] : 0.843496803336
@ 70 : [32.333s, 3261.656s] : 0.842923060454
@ 71 : [32.224s, 3307.972s] : 0.842368372445
@ 72 : [31.919s, 3353.841s] : 0.841832031773
@ 73 : [32.712s, 3400.436s] : 0.84131329908
@ 74 : [32.680s, 3447.051s] : 0.840811417979
@ 75 : [31.935s, 3492.764s] : 0.840325626639
@ 76 : [31.782s, 3538.626s] : 0.839855166756
@ 77 : [32.125s, 3584.615s] : 0.839399290399
@ 78 : [32.265s, 3630.845s] : 0.838957265151
@ 79 : [32.895s, 3677.714s] : 0.838528377888
@ 80 : [32.904s, 3724.680s] : 0.838111937477
@ 81 : [32.872s, 3771.502s] : 0.837707276634
@ 82 : [32.119s, 3817.605s] : 0.837313753116
@ 83 : [31.860s, 3863.774s] : 0.836930750403
@ 84 : [33.154s, 3911.080s] : 0.836557677997
@ 85 : [32.453s, 3957.611s] : 0.836193971415
@ 86 : [32.971s, 4005.112s] : 0.835839091974
@ 87 : [32.408s, 4051.954s] : 0.835492526412
@ 88 : [34.132s, 4100.545s] : 0.835153786396
@ 89 : [31.898s, 4146.499s] : 0.834822407953
@ 90 : [32.505s, 4192.880s] : 0.834497950852
@ 91 : [32.775s, 4240.106s] : 0.834179997961
@ 92 : [32.769s, 4286.826s] : 0.833868154583
@ 93 : [32.710s, 4333.462s] : 0.833562047799
@ 94 : [32.100s, 4380.067s] : 0.833261325811
@ 95 : [32.781s, 4427.215s] : 0.832965657298
@ 96 : [32.618s, 4473.769s] : 0.832674730786
@ 97 : [32.364s, 4520.191s] : 0.832388254033
@ 98 : [32.331s, 4566.625s] : 0.83210595343
@ 99 : [32.077s, 4613.089s] : 0.831827573411
@ 100 : [31.921s, 4659.442s] : 0.831552875884
@ 101 : [33.049s, 4706.434s] : 0.831281639664
@ 102 : [32.519s, 4753.598s] : 0.83101365992
@ 103 : [32.591s, 4800.334s] : 0.830748747619
@ 104 : [33.151s, 4848.184s] : 0.830486728983
@ 105 : [33.011s, 4895.386s] : 0.83022744494
@ 106 : [32.527s, 4941.969s] : 0.829970750568
@ 107 : [32.098s, 4988.183s] : 0.829716514547
@ 108 : [31.715s, 5034.066s] : 0.829464618597
@ 109 : [32.637s, 5080.491s] : 0.829214956907
@ 110 : [31.920s, 5126.809s] : 0.828967435565
@ 111 : [33.056s, 5173.738s] : 0.828721971973
@ 112 : [32.073s, 5219.495s] : 0.828478494256
@ 113 : [32.259s, 5265.621s] : 0.828236940665
@ 114 : [33.128s, 5312.857s] : 0.827997258975
@ 115 : [32.579s, 5359.408s] : 0.827759405871
@ 116 : [31.964s, 5405.306s] : 0.827523346342
@ 117 : [32.350s, 5451.534s] : 0.827289053066
@ 118 : [32.724s, 5498.397s] : 0.827056505798
@ 119 : [32.560s, 5545.193s] : 0.826825690766
@ 120 : [33.421s, 5592.311s] : 0.826596600068
@ 121 : [32.487s, 5639.024s] : 0.826369231079
@ 122 : [31.997s, 5685.118s] : 0.826143585878
@ 123 : [32.491s, 5731.994s] : 0.825919670678
@ 124 : [32.341s, 5778.951s] : 0.82569749528
@ 125 : [32.348s, 5825.691s] : 0.825477072547
@ 126 : [32.400s, 5872.266s] : 0.825258417898
@ 127 : [32.761s, 5918.944s] : 0.825041548826
@ 128 : [31.867s, 5965.205s] : 0.824826484443
@ 129 : [32.213s, 6011.295s] : 0.824613245047
@ 130 : [32.867s, 6058.042s] : 0.824401851729
@ 131 : [31.995s, 6104.172s] : 0.824192325991
@ 132 : [32.176s, 6150.183s] : 0.823984689414
@ 133 : [32.925s, 6197.317s] : 0.823778963337
@ 134 : [32.271s, 6243.295s] : 0.823575168581
@ 135 : [31.747s, 6288.761s] : 0.823373325188
@ 136 : [32.561s, 6335.248s] : 0.823173452205
@ 137 : [32.201s, 6381.472s] : 0.82297556748
@ 138 : [32.854s, 6428.547s] : 0.822779687497
@ 139 : [32.890s, 6475.414s] : 0.822585827231
@ 140 : [32.691s, 6522.639s] : 0.822394000028
@ 141 : [32.110s, 6568.704s] : 0.822204217512
@ 142 : [32.502s, 6615.220s] : 0.82201648951
@ 143 : [32.480s, 6661.741s] : 0.821830823996
@ 144 : [31.855s, 6707.458s] : 0.82164722706
@ 145 : [32.491s, 6754.150s] : 0.821465702888
@ 146 : [32.235s, 6800.303s] : 0.821286253759
@ 147 : [32.630s, 6846.770s] : 0.82110888006
@ 148 : [31.946s, 6892.680s] : 0.820933580307
@ 149 : [32.110s, 6938.865s] : 0.82076035118
@ 150 : [32.044s, 6984.790s] : 0.820589187568
@ 151 : [32.687s, 7031.305s] : 0.820420082625
@ 152 : [32.867s, 7078.514s] : 0.820253027824
@ 153 : [31.689s, 7124.203s] : 0.820088013027
@ 154 : [32.016s, 7170.367s] : 0.819925026554
@ 155 : [33.271s, 7217.470s] : 0.819764055257
@ 156 : [32.294s, 7263.788s] : 0.819605084595
@ 157 : [32.804s, 7310.673s] : 0.819448098715
@ 158 : [32.049s, 7357.338s] : 0.81929308053
@ 159 : [33.257s, 7404.569s] : 0.8191400118
@ 160 : [31.888s, 7450.498s] : 0.818988873213
@ 161 : [32.654s, 7497.109s] : 0.818839644461
@ 162 : [31.412s, 7542.566s] : 0.818692304324
@ 163 : [32.163s, 7588.834s] : 0.818546830741
@ 164 : [32.463s, 7635.161s] : 0.818403200889
@ 165 : [32.207s, 7681.770s] : 0.818261391253
@ 166 : [33.457s, 7729.440s] : 0.818121377702
@ 167 : [32.956s, 7777.101s] : 0.817983135549
@ 168 : [32.453s, 7823.578s] : 0.817846639624
@ 169 : [32.495s, 7870.191s] : 0.817711864332
@ 170 : [33.055s, 7917.274s] : 0.817578783714
@ 171 : [31.770s, 7963.010s] : 0.817447371505
@ 172 : [32.540s, 8009.544s] : 0.817317601188
@ 173 : [31.990s, 8055.416s] : 0.817189446044
@ 174 : [32.906s, 8102.133s] : 0.817062879201
@ 175 : [32.328s, 8148.445s] : 0.816937873678
@ 176 : [33.204s, 8195.918s] : 0.816814402431
@ 177 : [32.294s, 8242.175s] : 0.81669243839
@ 178 : [32.142s, 8288.313s] : 0.816571954499
@ 179 : [32.429s, 8334.531s] : 0.816452923747
@ 180 : [32.552s, 8381.538s] : 0.816335319204
@ 181 : [32.728s, 8428.174s] : 0.81621911405
@ 182 : [32.478s, 8474.474s] : 0.816104281601
@ 183 : [32.506s, 8521.069s] : 0.815990795337
@ 184 : [32.607s, 8567.816s] : 0.815878628926
@ 185 : [32.680s, 8614.301s] : 0.81576775624
@ 186 : [31.977s, 8660.107s] : 0.815658151382
@ 187 : [32.010s, 8706.045s] : 0.815549788699
@ 188 : [32.303s, 8752.408s] : 0.815442642801
@ 189 : [32.297s, 8798.865s] : 0.815336688573
@ 190 : [32.686s, 8845.618s] : 0.815231901189
@ 191 : [31.823s, 8891.322s] : 0.815128256126
@ 192 : [32.358s, 8938.106s] : 0.815025729171
@ 193 : [33.365s, 8985.425s] : 0.814924296432
@ 194 : [32.323s, 9031.778s] : 0.814823934347
@ 195 : [32.057s, 9078.001s] : 0.814724619688
@ 196 : [32.793s, 9124.711s] : 0.81462632957
@ 197 : [32.991s, 9171.626s] : 0.814529041452
@ 198 : [32.196s, 9218.018s] : 0.814432733147
@ 199 : [32.423s, 9264.342s] : 0.81433738282
@ 200 : [32.334s, 9311.010s] : 0.814242968993
@ 201 : [32.041s, 9357.052s] : 0.814149470547
@ 202 : [32.432s, 9403.946s] : 0.814056866722
@ 203 : [31.605s, 9449.716s] : 0.81396513712
@ 204 : [32.726s, 9496.390s] : 0.8138742617
@ 205 : [31.556s, 9541.825s] : 0.813784220785
@ 206 : [32.438s, 9588.802s] : 0.813694995055
@ 207 : [32.174s, 9635.369s] : 0.81360656555
@ 208 : [32.165s, 9681.500s] : 0.813518913663
@ 209 : [32.599s, 9728.210s] : 0.813432021146
@ 210 : [32.355s, 9774.609s] : 0.813345870099
@ 211 : [32.181s, 9820.626s] : 0.813260442974
@ 212 : [32.910s, 9867.429s] : 0.81317572257
@ 213 : [32.591s, 9913.894s] : 0.813091692028
@ 214 : [31.846s, 9960.275s] : 0.813008334833
@ 215 : [32.144s, 10006.538s] : 0.812925634804
@ 216 : [32.240s, 10053.036s] : 0.812843576094
@ 217 : [32.339s, 10099.600s] : 0.812762143187
@ 218 : [32.655s, 10146.224s] : 0.812681320894
@ 219 : [32.692s, 10192.967s] : 0.812601094345
