# CPU cores (cores): 32
# Learning Rate (eta): 0.01
# Lambda (lamb): 0.18
# Maximum Number of Iterations (maxit): 300
# Matrix Rank (rank): 10
# RMSE Computation Interval (rmseint): 1
# Testing File (test): ratings_debug_test.mtx
# Training File (train): ratings_debug_train.mtx
@ 0 : [0.000s, 0.889s] : 1.44062220516
@ 1 : [34.492s, 57.491s] : 0.930448513872
@ 2 : [34.104s, 110.382s] : 0.895071696446
@ 3 : [35.955s, 166.489s] : 0.881555814807
@ 4 : [31.267s, 216.164s] : 0.874716357403
@ 5 : [34.986s, 270.030s] : 0.870752168258
@ 6 : [35.019s, 324.558s] : 0.868255499199
@ 7 : [36.105s, 380.669s] : 0.866590175378
@ 8 : [33.743s, 434.961s] : 0.865430463164
@ 9 : [34.679s, 491.569s] : 0.864594550603
@ 10 : [35.296s, 545.534s] : 0.863974321778
@ 11 : [35.967s, 599.162s] : 0.86350227497
@ 12 : [35.148s, 652.760s] : 0.863134589447
@ 13 : [33.652s, 708.287s] : 0.862841881049
@ 14 : [32.798s, 761.346s] : 0.862603888697
@ 15 : [34.782s, 815.996s] : 0.862406288578
@ 16 : [34.887s, 872.097s] : 0.862238714853
@ 17 : [37.146s, 928.850s] : 0.862093491499
@ 18 : [34.399s, 984.371s] : 0.861964797028
@ 19 : [34.798s, 1038.529s] : 0.861848099946
@ 20 : [34.618s, 1093.353s] : 0.861739767383
@ 21 : [35.797s, 1148.392s] : 0.861636786532
@ 22 : [34.927s, 1203.577s] : 0.861536560569
@ 23 : [33.256s, 1256.626s] : 0.861436754246
@ 24 : [34.328s, 1311.089s] : 0.861335172778
@ 25 : [35.231s, 1366.986s] : 0.861229663156
@ 26 : [33.819s, 1422.342s] : 0.8611180307
@ 27 : [33.929s, 1477.648s] : 0.860997966351
@ 28 : [34.752s, 1533.547s] : 0.860866982292
@ 29 : [36.907s, 1590.145s] : 0.860722355307
@ 30 : [34.801s, 1645.507s] : 0.860561079063
@ 31 : [34.187s, 1698.525s] : 0.860379828358
@ 32 : [32.582s, 1751.804s] : 0.860174940272
@ 33 : [35.335s, 1806.539s] : 0.859942419104
@ 34 : [34.932s, 1861.649s] : 0.859677973642
@ 35 : [35.324s, 1914.106s] : 0.859377096228
@ 36 : [34.648s, 1968.736s] : 0.859035192581
@ 37 : [35.511s, 2026.192s] : 0.85864776858
@ 38 : [34.671s, 2080.608s] : 0.858210674382
@ 39 : [33.999s, 2132.734s] : 0.857720397035
@ 40 : [34.583s, 2184.764s] : 0.857174380781
@ 41 : [35.682s, 2239.653s] : 0.85657134153
@ 42 : [35.626s, 2295.296s] : 0.855911532034
@ 43 : [33.943s, 2350.200s] : 0.855196911407
@ 44 : [34.112s, 2404.949s] : 0.85443118003
@ 45 : [33.999s, 2458.520s] : 0.853619659462
@ 46 : [34.462s, 2512.203s] : 0.852769023085
@ 47 : [34.126s, 2566.378s] : 0.851886910179
@ 48 : [33.307s, 2618.061s] : 0.850981476077
@ 49 : [34.280s, 2672.566s] : 0.85006093833
@ 50 : [35.220s, 2725.966s] : 0.849133172531
@ 51 : [31.949s, 2776.942s] : 0.848205395091
@ 52 : [33.546s, 2828.103s] : 0.84728394985
@ 53 : [34.054s, 2879.624s] : 0.84637419684
@ 54 : [37.283s, 2935.505s] : 0.845480488393
@ 55 : [35.149s, 2992.278s] : 0.844606211206
@ 56 : [33.525s, 3045.115s] : 0.843753871919
@ 57 : [34.317s, 3100.079s] : 0.842925206415
@ 58 : [33.291s, 3151.492s] : 0.842121297397
@ 59 : [34.619s, 3206.368s] : 0.841342689502
@ 60 : [35.437s, 3261.323s] : 0.840589495312
@ 61 : [35.842s, 3317.480s] : 0.839861488863
@ 62 : [34.657s, 3372.314s] : 0.839158185478
@ 63 : [34.854s, 3428.521s] : 0.838478908241
@ 64 : [35.246s, 3482.524s] : 0.837822842218
@ 65 : [35.120s, 3535.178s] : 0.837189077936
@ 66 : [35.441s, 3588.825s] : 0.836576645729
@ 67 : [33.484s, 3641.270s] : 0.835984542513
@ 68 : [36.109s, 3697.160s] : 0.83541175236
@ 69 : [33.062s, 3750.533s] : 0.834857262123
@ 70 : [36.343s, 3805.639s] : 0.8343200731
@ 71 : [33.803s, 3860.587s] : 0.833799209599
@ 72 : [32.942s, 3913.257s] : 0.833293725095
@ 73 : [34.156s, 3967.739s] : 0.832802706509
@ 74 : [34.720s, 4020.558s] : 0.832325277072
@ 75 : [34.774s, 4075.638s] : 0.831860598099
@ 76 : [34.546s, 4129.854s] : 0.831407869953
@ 77 : [35.680s, 4184.541s] : 0.830966332405
@ 78 : [34.896s, 4238.463s] : 0.830535264558
@ 79 : [35.133s, 4292.787s] : 0.830113984444
@ 80 : [33.632s, 4348.145s] : 0.829701848399
@ 81 : [33.470s, 4403.050s] : 0.829298250294
@ 82 : [34.486s, 4456.270s] : 0.828902620642
@ 83 : [33.240s, 4510.513s] : 0.828514425658
@ 84 : [35.233s, 4564.802s] : 0.828133166268
@ 85 : [35.145s, 4618.759s] : 0.827758377094
@ 86 : [33.432s, 4673.054s] : 0.827389625436
@ 87 : [33.002s, 4727.742s] : 0.827026510231
@ 88 : [35.698s, 4782.521s] : 0.826668661025
@ 89 : [35.932s, 4837.162s] : 0.826315736924
@ 90 : [35.041s, 4892.805s] : 0.825967425552
@ 91 : [35.494s, 4947.600s] : 0.825623441985
@ 92 : [35.151s, 5000.971s] : 0.825283527684
@ 93 : [35.255s, 5055.613s] : 0.824947449404
@ 94 : [35.773s, 5111.528s] : 0.824614998085
@ 95 : [34.059s, 5164.754s] : 0.824285987722
@ 96 : [35.867s, 5220.653s] : 0.823960254216
@ 97 : [35.444s, 5277.196s] : 0.823637654194
@ 98 : [34.204s, 5331.008s] : 0.823318063815
@ 99 : [33.927s, 5385.751s] : 0.823001377555
@ 100 : [33.252s, 5437.520s] : 0.822687506972
@ 101 : [33.675s, 5489.441s] : 0.822376379468
@ 102 : [34.324s, 5543.639s] : 0.822067937033
@ 103 : [35.236s, 5598.238s] : 0.821762135002
@ 104 : [32.169s, 5651.297s] : 0.821458940807
@ 105 : [33.502s, 5702.795s] : 0.821158332751
@ 106 : [33.576s, 5755.962s] : 0.820860298797
@ 107 : [35.832s, 5810.674s] : 0.820564835392
@ 108 : [36.081s, 5867.450s] : 0.820271946318
@ 109 : [34.267s, 5920.158s] : 0.81998164159
@ 110 : [37.485s, 5978.306s] : 0.819693936401
@ 111 : [36.890s, 6036.159s] : 0.819408850124
@ 112 : [31.966s, 6088.823s] : 0.819126405364
@ 113 : [32.257s, 6141.611s] : 0.818846627079
