# CPU cores (cores): 8
# Learning Rate (eta): 0.01
# Lambda (lamb): 0.04
# Maximum Number of Iterations (maxit): 300
# Matrix Rank (rank): 10
# RMSE Computation Interval (rmseint): 1
# Testing File (test): ratings_debug_test.mtx
# Training File (train): ratings_debug_train.mtx
@ 0 : [0.000s, 1.007s] : 1.44062220516
@ 1 : [91.835s, 132.758s] : 0.916628704933
@ 2 : [91.798s, 264.437s] : 0.878124074808
@ 3 : [91.701s, 395.972s] : 0.862835017829
@ 4 : [91.705s, 527.540s] : 0.854552347961
@ 5 : [91.772s, 659.218s] : 0.849263534759
@ 6 : [91.677s, 790.786s] : 0.84547088465
@ 7 : [91.882s, 922.528s] : 0.842484594988
@ 8 : [91.773s, 1054.180s] : 0.839938634666
@ 9 : [91.799s, 1185.855s] : 0.837614572167
@ 10 : [91.778s, 1317.491s] : 0.835365794594
@ 11 : [91.808s, 1449.119s] : 0.833080701696
@ 12 : [91.762s, 1580.783s] : 0.830664018374
@ 13 : [91.871s, 1712.482s] : 0.828029558232
@ 14 : [91.767s, 1844.070s] : 0.82510336736
@ 15 : [91.634s, 1975.521s] : 0.821836412008
@ 16 : [91.834s, 2107.203s] : 0.818220816729
@ 17 : [91.760s, 2238.812s] : 0.8142973783
@ 18 : [91.843s, 2370.500s] : 0.810144864238
@ 19 : [91.782s, 2502.192s] : 0.805855743734
@ 20 : [91.733s, 2633.757s] : 0.801513339589
@ 21 : [91.724s, 2765.348s] : 0.797180498896
@ 22 : [91.908s, 2897.151s] : 0.792898988098
@ 23 : [91.745s, 3028.739s] : 0.78869398659
@ 24 : [91.698s, 3160.278s] : 0.784579350948
@ 25 : [91.701s, 3291.824s] : 0.780561871999
@ 26 : [91.675s, 3423.405s] : 0.776644242488
@ 27 : [91.786s, 3555.082s] : 0.772826966245
@ 28 : [91.762s, 3686.691s] : 0.76910951161
@ 29 : [91.737s, 3818.284s] : 0.765490958151
@ 30 : [91.816s, 3950.046s] : 0.761970318349
@ 31 : [91.752s, 4081.705s] : 0.758546661043
@ 32 : [91.829s, 4213.471s] : 0.755219122733
@ 33 : [91.804s, 4345.138s] : 0.75198686335
@ 34 : [91.777s, 4476.820s] : 0.748849002173
@ 35 : [91.854s, 4608.541s] : 0.745804554999
@ 36 : [91.812s, 4740.251s] : 0.742852383756
@ 37 : [91.847s, 4871.952s] : 0.739991163245
@ 38 : [91.859s, 5003.669s] : 0.737219365524
@ 39 : [91.796s, 5135.375s] : 0.734535260048
@ 40 : [91.769s, 5267.025s] : 0.73193692639
@ 41 : [91.775s, 5398.682s] : 0.729422275981
@ 42 : [91.762s, 5530.308s] : 0.726989079414
@ 43 : [91.725s, 5661.911s] : 0.724634996354
@ 44 : [91.721s, 5793.478s] : 0.722357605702
@ 45 : [91.827s, 5925.152s] : 0.72015443431
@ 46 : [91.629s, 6056.714s] : 0.718022983162
@ 47 : [91.787s, 6188.395s] : 0.715960750405
@ 48 : [91.722s, 6320.043s] : 0.713965251
@ 49 : [91.570s, 6451.490s] : 0.712034033025
@ 50 : [91.696s, 6583.065s] : 0.710164690829
@ 51 : [91.676s, 6714.599s] : 0.708354875346
@ 52 : [91.682s, 6846.177s] : 0.7066023019
@ 53 : [91.608s, 6977.610s] : 0.704904755855
@ 54 : [91.684s, 7109.116s] : 0.703260096453
@ 55 : [91.756s, 7240.756s] : 0.701666259137
@ 56 : [91.642s, 7372.211s] : 0.70012125665
@ 57 : [91.651s, 7503.720s] : 0.698623179142
@ 58 : [91.669s, 7635.271s] : 0.697170193496
@ 59 : [91.803s, 7766.888s] : 0.695760542054
@ 60 : [91.878s, 7898.640s] : 0.69439254088
@ 61 : [91.788s, 8030.256s] : 0.693064577691
@ 62 : [91.747s, 8161.906s] : 0.691775109559
@ 63 : [91.752s, 8293.574s] : 0.690522660447
@ 64 : [91.772s, 8425.188s] : 0.689305818667
@ 65 : [91.947s, 8556.980s] : 0.688123234289
@ 66 : [91.801s, 8688.648s] : 0.686973616554
@ 67 : [91.866s, 8820.406s] : 0.685855731318
@ 68 : [91.723s, 8951.987s] : 0.684768398537
@ 69 : [91.855s, 9083.711s] : 0.683710489833
@ 70 : [91.845s, 9215.417s] : 0.682680926125
@ 71 : [91.811s, 9347.081s] : 0.681678675353
@ 72 : [91.689s, 9478.665s] : 0.680702750285
@ 73 : [91.845s, 9610.362s] : 0.67975220642
@ 74 : [91.761s, 9742.017s] : 0.678826139978
@ 75 : [91.891s, 9873.764s] : 0.67792368598
@ 76 : [91.863s, 10005.469s] : 0.677044016423
@ 77 : [91.810s, 10137.093s] : 0.676186338528
@ 78 : [91.860s, 10268.800s] : 0.675349893082
@ 79 : [91.869s, 10400.571s] : 0.674533952858
@ 80 : [91.652s, 10532.116s] : 0.673737821102
@ 81 : [91.647s, 10663.585s] : 0.672960830105
@ 82 : [91.821s, 10795.191s] : 0.67220233984
@ 83 : [91.882s, 10926.946s] : 0.671461736661
@ 84 : [91.891s, 11058.660s] : 0.670738432076
@ 85 : [91.743s, 11190.248s] : 0.670031861569
@ 86 : [91.919s, 11322.041s] : 0.669341483488
@ 87 : [91.790s, 11453.692s] : 0.668666777987
@ 88 : [91.753s, 11585.336s] : 0.668007246013
@ 89 : [91.774s, 11716.996s] : 0.667362408352
@ 90 : [91.835s, 11848.702s] : 0.666731804718
@ 91 : [91.820s, 11980.446s] : 0.666114992884
@ 92 : [91.685s, 12112.053s] : 0.665511547865
@ 93 : [91.671s, 12243.678s] : 0.664921061128
@ 94 : [91.691s, 12375.285s] : 0.664343139856
@ 95 : [91.695s, 12506.849s] : 0.663777406233
@ 96 : [91.677s, 12638.375s] : 0.663223496778
@ 97 : [91.699s, 12770.016s] : 0.662681061703
@ 98 : [91.705s, 12901.609s] : 0.662149764305
@ 99 : [91.764s, 13033.272s] : 0.661629280391
@ 100 : [91.802s, 13164.950s] : 0.661119297722
@ 101 : [91.688s, 13296.578s] : 0.660619515497
@ 102 : [91.842s, 13428.295s] : 0.660129643853
@ 103 : [91.774s, 13559.977s] : 0.65964940339
@ 104 : [91.734s, 13691.532s] : 0.659178524723
@ 105 : [91.818s, 13823.250s] : 0.658716748054
@ 106 : [91.637s, 13954.846s] : 0.658263822761
@ 107 : [91.824s, 14086.565s] : 0.657819507015
@ 108 : [91.719s, 14218.168s] : 0.657383567405
@ 109 : [91.875s, 14349.917s] : 0.656955778588
@ 110 : [91.830s, 14481.655s] : 0.656535922954
@ 111 : [91.886s, 14613.493s] : 0.656123790308
@ 112 : [91.858s, 14745.249s] : 0.655719177561
@ 113 : [91.781s, 14876.864s] : 0.655321888444
@ 114 : [91.864s, 15008.570s] : 0.654931733229
@ 115 : [91.833s, 15140.308s] : 0.654548528467
@ 116 : [91.916s, 15272.093s] : 0.654172096735
@ 117 : [91.767s, 15403.705s] : 0.653802266394
@ 118 : [91.884s, 15535.443s] : 0.653438871366
@ 119 : [91.868s, 15667.217s] : 0.653081750908
@ 120 : [91.786s, 15798.840s] : 0.65273074941
@ 121 : [91.891s, 15930.601s] : 0.65238571619
@ 122 : [91.761s, 16062.250s] : 0.652046505308
@ 123 : [91.816s, 16193.876s] : 0.651712975383
@ 124 : [91.615s, 16325.368s] : 0.651384989419
@ 125 : [91.764s, 16456.982s] : 0.651062414638
@ 126 : [91.966s, 16588.798s] : 0.650745122324
@ 127 : [91.848s, 16720.520s] : 0.650432987671
@ 128 : [91.806s, 16852.209s] : 0.650125889635
@ 129 : [91.774s, 16983.797s] : 0.649823710799
@ 130 : [91.715s, 17115.373s] : 0.649526337238
@ 131 : [91.906s, 17247.171s] : 0.649233658395
@ 132 : [91.894s, 17378.950s] : 0.648945566957
@ 133 : [91.736s, 17510.600s] : 0.648661958737
@ 134 : [91.960s, 17642.428s] : 0.648382732568
@ 135 : [91.823s, 17774.096s] : 0.648107790193
@ 136 : [91.883s, 17905.824s] : 0.647837036162
@ 137 : [91.823s, 18037.540s] : 0.647570377736
@ 138 : [91.953s, 18169.391s] : 0.647307724794
@ 139 : [91.928s, 18301.190s] : 0.647048989741
@ 140 : [91.857s, 18432.934s] : 0.646794087421
@ 141 : [91.963s, 18564.767s] : 0.646542935039
@ 142 : [92.043s, 18696.713s] : 0.646295452074
@ 143 : [91.747s, 18828.322s] : 0.646051560211
@ 144 : [91.891s, 18960.117s] : 0.645811183262
@ 145 : [91.800s, 19091.734s] : 0.645574247099
