# CPU cores (cores): 32
# Learning Rate (eta): 0.01
# Lambda (lamb): 0.2
# Maximum Number of Iterations (maxit): 300
# Matrix Rank (rank): 10
# RMSE Computation Interval (rmseint): 1
# Testing File (test): ratings_debug_test.mtx
# Training File (train): ratings_debug_train.mtx
@ 0 : [0.000s, 0.794s] : 1.44062220516
@ 1 : [31.956s, 50.011s] : 0.934285668527
@ 2 : [33.096s, 102.514s] : 0.89926554516
@ 3 : [32.751s, 155.444s] : 0.885944309526
@ 4 : [31.231s, 206.216s] : 0.879233227187
@ 5 : [36.548s, 260.854s] : 0.875362929196
@ 6 : [33.522s, 312.677s] : 0.872939676568
@ 7 : [32.308s, 362.792s] : 0.871334585604
@ 8 : [33.364s, 413.276s] : 0.870226157704
@ 9 : [34.663s, 466.360s] : 0.86943524786
@ 10 : [33.190s, 516.967s] : 0.868855530115
@ 11 : [31.815s, 564.932s] : 0.868420769841
@ 12 : [31.792s, 616.040s] : 0.868088086951
@ 13 : [32.639s, 665.647s] : 0.867828828123
@ 14 : [34.825s, 718.871s] : 0.867623327012
@ 15 : [34.403s, 771.355s] : 0.867457767892
@ 16 : [34.811s, 824.696s] : 0.867322241683
@ 17 : [33.470s, 876.793s] : 0.867209504737
@ 18 : [32.663s, 925.518s] : 0.867114165654
@ 19 : [31.874s, 974.984s] : 0.867032140209
@ 20 : [32.599s, 1027.020s] : 0.866960278373
@ 21 : [33.226s, 1080.770s] : 0.866896104113
@ 22 : [35.179s, 1132.069s] : 0.866837630461
@ 23 : [33.265s, 1182.987s] : 0.866783225615
@ 24 : [33.155s, 1233.858s] : 0.866731514079
@ 25 : [34.603s, 1286.706s] : 0.866681302116
@ 26 : [32.987s, 1336.725s] : 0.866631520204
@ 27 : [33.781s, 1388.014s] : 0.866581177423
@ 28 : [33.794s, 1440.873s] : 0.866529324248
@ 29 : [32.599s, 1492.632s] : 0.866475021233
@ 30 : [32.415s, 1542.405s] : 0.866417311836
@ 31 : [34.090s, 1593.815s] : 0.866355198167
@ 32 : [31.635s, 1643.989s] : 0.866287618874
@ 33 : [34.856s, 1696.258s] : 0.866213428697
@ 34 : [33.473s, 1749.091s] : 0.866131379605
@ 35 : [32.775s, 1799.137s] : 0.866040103653
@ 36 : [33.610s, 1852.999s] : 0.865938098107
@ 37 : [33.424s, 1905.162s] : 0.865823713653
@ 38 : [31.894s, 1955.262s] : 0.86569514692
@ 39 : [32.672s, 2007.552s] : 0.865550438899
@ 40 : [34.604s, 2058.912s] : 0.865387481196
@ 41 : [33.846s, 2113.333s] : 0.865204032338
@ 42 : [35.466s, 2165.705s] : 0.864997746488
@ 43 : [34.179s, 2216.933s] : 0.864766216788
@ 44 : [35.351s, 2271.159s] : 0.864507035097
@ 45 : [32.522s, 2322.078s] : 0.86421786889
