# CPU cores (cores): 8
# Learning Rate (eta): 0.01
# Lambda (lamb): 0.0
# Maximum Number of Iterations (maxit): 300
# Matrix Rank (rank): 10
# RMSE Computation Interval (rmseint): 1
# Testing File (test): ratings_debug_test.mtx
# Training File (train): ratings_debug_train.mtx
@ 0 : [0.000s, 0.951s] : 1.44062220516
@ 1 : [92.793s, 134.215s] : 0.91702855252
@ 2 : [92.761s, 267.429s] : 0.878040217613
@ 3 : [92.690s, 400.520s] : 0.862125410027
@ 4 : [92.734s, 533.686s] : 0.85320140841
@ 5 : [92.954s, 666.950s] : 0.847240035356
@ 6 : [92.622s, 799.988s] : 0.842722609871
@ 7 : [92.706s, 933.131s] : 0.838939426722
@ 8 : [92.748s, 1066.253s] : 0.835504153863
@ 9 : [92.809s, 1199.420s] : 0.83217645438
@ 10 : [92.791s, 1332.517s] : 0.828787678086
@ 11 : [92.734s, 1465.700s] : 0.825210764418
@ 12 : [92.836s, 1598.914s] : 0.82135481822
@ 13 : [92.838s, 1732.120s] : 0.81717323327
@ 14 : [92.862s, 1865.372s] : 0.812671513564
@ 15 : [92.789s, 1998.551s] : 0.807901672562
@ 16 : [92.717s, 2131.549s] : 0.802942265984
@ 17 : [92.725s, 2264.599s] : 0.797875603403
@ 18 : [92.755s, 2397.732s] : 0.792772754835
@ 19 : [92.739s, 2530.858s] : 0.787688104823
@ 20 : [92.738s, 2663.978s] : 0.782659952121
@ 21 : [92.821s, 2797.275s] : 0.777713588337
@ 22 : [92.651s, 2930.230s] : 0.772864830022
@ 23 : [92.751s, 3063.335s] : 0.768123131097
@ 24 : [92.798s, 3196.493s] : 0.763493985753
@ 25 : [92.744s, 3329.627s] : 0.758980602642
@ 26 : [92.764s, 3462.761s] : 0.754584956738
@ 27 : [92.637s, 3595.770s] : 0.750308372488
@ 28 : [92.760s, 3728.913s] : 0.746151791412
@ 29 : [92.862s, 3862.126s] : 0.742115851466
@ 30 : [92.759s, 3995.214s] : 0.738200871136
@ 31 : [92.836s, 4128.413s] : 0.734406799212
@ 32 : [92.762s, 4261.603s] : 0.730733165872
@ 33 : [92.758s, 4394.822s] : 0.727179052756
@ 34 : [92.630s, 4527.914s] : 0.723743088053
@ 35 : [92.705s, 4661.056s] : 0.720423465542
@ 36 : [92.694s, 4794.164s] : 0.717217982846
@ 37 : [92.644s, 4927.225s] : 0.714124092726
@ 38 : [92.684s, 5060.317s] : 0.711138961266
@ 39 : [92.458s, 5193.233s] : 0.708259527772
@ 40 : [92.754s, 5326.433s] : 0.705482562493
@ 41 : [92.751s, 5459.603s] : 0.702804719608
@ 42 : [92.755s, 5592.793s] : 0.700222584098
@ 43 : [92.758s, 5725.913s] : 0.69773271199
@ 44 : [92.764s, 5859.040s] : 0.695331664064
@ 45 : [92.673s, 5992.198s] : 0.693016033475
